system,group,O_serial_1based,time_ps,relative_depth,dx_A,dy_A
SiO2,1,120,217.1,0.22270715804327101,-2.264493942260742,-0.3335599899291992
SiO2,1,120,217.20000000000002,0.22349761781238375,-2.0731499195098877,-0.20811033248901367
SiO2,1,120,217.3,0.22089762914748418,-2.0821499824523926,-0.6091599464416504
SiO2,1,120,217.4,0.21144285656156994,-2.1024399995803833,-0.7259001731872559
SiO2,1,120,217.5,0.212457157316662,-2.379323959350586,-0.8492603302001953
SiO2,1,120,217.6,0.2210880915323893,-2.3812339305877686,-0.8684701919555664
SiO2,1,120,217.70000000000002,0.22509284246535527,-1.7039198875427246,-0.8456401824951172
SiO2,1,120,217.8,0.22224762326195127,-1.4647499322891235,-0.5506601333618164
SiO2,1,120,217.9,0.22296905517578125,-2.007439970970154,-0.6079902648925781
SiO2,1,120,218.0,0.2299643016996838,-2.2170949578285217,-0.5895299911499023
SiO2,1,120,218.1,0.21988096691313244,-2.176659941673279,-0.5140399932861328
SiO2,1,120,218.20000000000002,0.21293095179966517,-1.635819911956787,-0.335629940032959
SiO2,1,120,218.3,0.22155475616455078,-1.5388000011444092,0.0022096633911132812
SiO2,1,120,218.4,0.2236642837524414,-2.0725399255752563,-0.3996400833129883
SiO2,1,120,218.5,0.22026666005452475,-2.120319962501526,-0.91156005859375
SiO2,1,120,218.6,0.21489524841308594,-1.9092299938201904,-1.0851800441741943
SiO2,1,120,218.70000000000002,0.2232499803815569,-1.9685399532318115,-0.505500316619873
SiO2,1,120,218.8,0.21861902872721353,-2.2173869609832764,-0.2701702117919922
SiO2,1,120,218.9,0.2083143052600679,-1.9391599893569946,-0.49705028533935547
SiO2,1,120,219.0,0.208442869640532,-1.7338899374008179,-0.88031005859375
SiO2,1,120,219.1,0.21888097127278647,-2.3352909684181213,-0.9684000015258789
SiO2,1,120,219.20000000000002,0.22354525611514137,-2.5033019185066223,-0.5439000129699707
SiO2,1,120,219.3,0.22457617805117652,-2.01242995262146,-0.8103799819946289
SiO2,1,120,219.4,0.22263095492408388,-2.3570289611816406,-0.8299102783203125
SiO2,1,120,219.5,0.21944522857666016,-2.813957929611206,-0.3644900321960449
SiO2,1,120,219.6,0.21886430467878068,-2.660263955593109,-0.26563024520874023
SiO2,1,120,219.70000000000002,0.21986430031912668,-2.1722699403762817,-0.20898008346557617
SiO2,1,120,219.8,0.22067378816150485,-1.8970199823379517,-0.7269001007080078
SiO2,1,120,219.9,0.22418094816662015,-2.4491599202156067,-0.5715203285217285
SiO2,1,120,220.0,0.2147857121058873,-2.381407916545868,-0.4364900588989258
SiO2,1,120,220.1,0.21060239701043992,-2.1785799264907837,-0.31504011154174805
SiO2,1,120,220.20000000000002,0.21234998248872303,-2.150629997253418,-0.43267011642456055
SiO2,1,120,220.3,0.21833097367059617,-2.6459059715270996,-0.9554100036621094
SiO2,1,120,220.4,0.22101188841320218,-2.683575928211212,-0.8585200309753418
SiO2,1,120,220.5,0.2140214102608817,-2.6711419224739075,-0.8336100578308105
SiO2,1,120,220.6,0.21201905750093006,-2.1382299661636353,-0.5887598991394043
SiO2,1,120,220.70000000000002,0.2183143070765904,-2.1885799169540405,-0.5484499931335449
SiO2,1,120,220.8,0.23354048956008183,-2.1206899881362915,-0.8131599426269531
SiO2,1,120,220.9,0.22495474134172713,-2.2235989570617676,-1.10152006149292
SiO2,1,120,221.0,0.21380951291038877,-2.3066739439964294,-1.330090045928955
SiO2,1,120,221.1,0.2183143070765904,-2.67065292596817,-1.3592801094055176
SiO2,1,120,221.20000000000002,0.2277452378045945,-2.827180951833725,-1.4008901119232178
SiO2,1,120,221.3,0.21939763568696521,-2.6438239216804504,-1.3785200119018555
SiO2,1,120,221.4,0.20550001235235305,-2.159679889678955,-1.542490005493164
SiO2,1,120,221.5,0.21601191021147229,-2.41266793012619,-1.589400053024292
SiO2,1,120,221.6,0.22215475354875838,-2.6933009326457977,-1.2734100818634033
SiO2,1,120,221.70000000000002,0.21545714423769996,-2.553814947605133,-1.2875001430511475
SiO2,1,120,221.8,0.21191188267299108,-2.0824999809265137,-1.1898701190948486
SiO2,1,120,221.9,0.22314048948742093,-2.107629895210266,-1.4559600353240967
SiO2,1,120,222.0,0.22295475006103516,-2.5915399193763733,-1.388620138168335
SiO2,1,120,222.1,0.21573570796421596,-2.7144949436187744,-1.6291000843048096
SiO2,1,120,222.20000000000002,0.21725713639032274,-2.870994955301285,-1.6906201839447021
SiO2,1,120,222.3,0.223599978855678,-2.330832988023758,-1.3581500053405762
SiO2,1,120,222.4,0.2225523903256371,-2.472725957632065,-1.1176700592041016
SiO2,1,120,222.5,0.221702394031343,-2.2324789464473724,-0.9890599250793457
SiO2,1,120,222.6,0.2138690494355701,-2.440698951482773,-1.062690019607544
SiO2,1,120,222.70000000000002,0.2091214316231864,-2.1769199669361115,-0.9861702919006348
SiO2,1,120,222.8,0.2163809367588588,-2.1969649493694305,-0.8637099266052246
SiO2,1,120,222.9,0.2225309553600493,-2.2067169845104218,-0.7067198753356934
SiO2,1,120,223.0,0.22208808717273532,-2.2566149532794952,-0.6776900291442871
SiO2,1,120,223.1,0.2169023695446196,-2.4180329740047455,-1.0399301052093506
SiO2,1,120,223.20000000000002,0.21928809937976657,-2.1215899288654327,-1.0717101097106934
SiO2,1,120,223.3,0.22264526003882998,-1.7267599403858185,-0.7173199653625488
SiO2,1,120,223.4,0.22614047640845888,-1.8403399288654327,-0.7604398727416992
SiO2,1,120,223.5,0.21790713355654762,-2.1250899136066437,-0.8239102363586426
SiO2,1,120,223.6,0.21416668664841426,-1.7293600142002106,-0.8396601676940918
SiO2,1,120,223.70000000000002,0.21423094613211496,-1.5327599346637726,-1.0952701568603516
SiO2,1,120,223.8,0.21545001438685826,-1.9234799444675446,-0.6937599182128906
SiO2,1,120,223.9,0.21884046282087052,-1.7783099710941315,-0.5515103340148926
SiO2,1,120,224.0,0.2253476097470238,-1.7807599604129791,-1.145820140838623
SiO2,1,120,224.1,0.21699287777855283,-1.8045499622821808,-1.5195600986480713
SiO2,1,120,224.20000000000002,0.2164523715064639,-2.249426990747452,-1.03725004196167
SiO2,1,120,224.3,0.2211738313947405,-2.322192996740341,-0.5915203094482422
SiO2,1,120,224.4,0.21686190650576637,-2.0359499752521515,-0.3880600929260254
SiO2,1,120,224.5,0.2155047825404576,-1.9382299482822418,-0.7717499732971191
SiO2,1,120,224.6,0.21995953151157924,-2.396815985441208,-0.7646799087524414
SiO2,1,120,224.70000000000002,0.22322618393670945,-2.703048974275589,-0.7651000022888184
SiO2,1,120,224.8,0.2222118831816174,-2.7978479862213135,-0.8059701919555664
SiO2,1,120,224.9,0.22034286317371188,-2.611395984888077,-0.6621003150939941
SiO2,1,120,225.0,0.2207404545375279,-2.2701439559459686,-0.4664602279663086
SiO2,1,120,225.1,0.21618570600237166,-2.34095099568367,-1.0622901916503906
SiO2,1,120,225.20000000000002,0.21538094111851283,-2.251387983560562,-1.1862900257110596
SiO2,1,120,225.3,0.2186785652523949,-2.4026239812374115,-1.5400400161743164
SiO2,1,120,225.4,0.22709047226678758,-2.9362729489803314,-1.062690019607544
SiO2,1,120,225.5,0.21915235973539807,-2.5451149344444275,-0.4809103012084961
SiO2,1,120,225.6,0.2141071501232329,-2.2058339715003967,-0.384429931640625
SiO2,1,120,225.70000000000002,0.2172738029843285,-2.3077569603919983,-0.8839702606201172
