block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
13,2,2.0,4.0,12,-0.06767981369596981,0.7593874691358918
13,3,4.0,6.0,10,-0.03728644139366572,0.790728001449477
13,4,6.0,8.0,8,0.01912706328059805,0.8123867318851671
13,5,8.0,10.0,10,-0.005088180257503113,0.7529874730200126
13,6,10.0,12.0,10,0.12613625499118034,0.7503365362703781
13,7,12.0,14.0,10,0.172419279167679,0.7640525297345053
13,8,14.0,16.0,10,-0.002201703932829181,0.7808494863487837
13,9,16.0,18.0,6,-0.0025936949183949167,0.7929664714538676
13,10,18.0,20.0,12,0.03232759218989133,0.724993196199423
13,11,20.0,22.0,10,0.038478518770488516,0.7748003205665305
13,12,22.0,24.0,10,0.016296188027273853,0.7814988177447355
14,1,0.0,2.0,10,0.11326502767868828,0.7798930538902097
14,2,2.0,4.0,12,0.04797573494196199,0.7647453480257076
14,3,4.0,6.0,10,0.003034238602006907,0.8037883206995159
14,4,6.0,8.0,8,0.16066758936362274,0.7471762340013731
14,5,8.0,10.0,10,-0.05269599260030024,0.7413157915473113
14,6,10.0,12.0,10,0.11729296732445706,0.7844251696544914
14,7,12.0,14.0,10,0.2955945060142313,0.7762332016881329
14,8,14.0,16.0,10,0.3037160398244056,0.7760104248441378
14,9,16.0,18.0,6,-0.0018961702621869778,0.7741474021167581
14,10,18.0,20.0,12,0.0752204927137093,0.7432662945437596
14,11,20.0,22.0,10,0.02965649738998572,0.7835438246329411
14,12,22.0,24.0,10,0.20989917758900234,0.7169486811586216
15,1,0.0,2.0,10,0.10493699680210618,0.7759581564264509
15,2,2.0,4.0,12,0.031168057680885743,0.7018008515537885
15,3,4.0,6.0,10,-0.07664356556405243,0.7424443873561001
15,4,6.0,8.0,8,-0.008505725563229996,0.7959276947200622
15,5,8.0,10.0,10,0.13281901304250074,0.6825984165792318
15,6,10.0,12.0,10,0.2810399692053631,0.7801768119164875
15,7,12.0,14.0,10,0.09811123902810072,0.7519443423319533
15,8,14.0,16.0,10,0.002337863184400576,0.7606116627206639
15,9,16.0,18.0,6,0.013948710988580153,0.8011211160580688
15,10,18.0,20.0,12,0.3683745016392894,0.7613317449488644
15,11,20.0,22.0,10,0.1810092032456424,0.7279515217730895
15,12,22.0,24.0,10,0.23172644645405285,0.7720856016004694
16,1,0.0,2.0,10,0.028179356012430132,0.7446763375672942
16,2,2.0,4.0,12,-0.1275602907044875,0.7724047133484263
16,3,4.0,6.0,10,0.010866996687950731,0.7729184446546472
16,4,6.0,8.0,8,0.036808953170065384,0.7754818148783698
16,5,8.0,10.0,10,-0.14564180598099435,0.7203323303697745
16,6,10.0,12.0,10,0.1879301713139698,0.8034650714314866
16,7,12.0,14.0,10,0.4643827603074668,0.7603969093792504
16,8,14.0,16.0,10,0.42356027547244623,0.738764433751302
16,9,16.0,18.0,6,-0.06540095968249464,0.788584342820413
16,10,18.0,20.0,12,0.037440357108446704,0.748767132703425
16,11,20.0,22.0,10,0.18760404332038416,0.774612060589584
16,12,22.0,24.0,10,-0.019517295387290533,0.7360537224894168
17,1,0.0,2.0,10,0.4075285093876735,0.7588703603984599
17,2,2.0,4.0,12,0.10263161805610568,0.7439029264689604
17,3,4.0,6.0,10,0.03770063037455014,0.7570076659817508
17,4,6.0,8.0,8,0.051007101710386436,0.7896769988338337
17,5,8.0,10.0,10,-0.22996424246148406,0.7302709124701444
17,6,10.0,12.0,10,0.05982953371815349,0.7729474239795894
17,7,12.0,14.0,10,0.3027656872549543,0.7451874890659461
17,8,14.0,16.0,10,0.19983365971325684,0.7834792896526792
17,9,16.0,18.0,6,0.0757743512204794,0.7454428982646966
17,10,18.0,20.0,12,0.06208220351662567,0.730247245723286
17,11,20.0,22.0,10,-0.01219272762138036,0.74175480909424
17,12,22.0,24.0,10,-0.12345575298641491,0.7394756033047091
18,1,0.0,2.0,10,-0.017933416659607453,0.7406414728042271
18,2,2.0,4.0,12,0.17032125153757338,0.7560079621352169
18,3,4.0,6.0,10,0.09851598363818725,0.7131948557453089
18,4,6.0,8.0,8,0.06801690314988122,0.8014774614425294
18,5,8.0,10.0,10,-0.09797233646871278,0.7148852666320293
18,6,10.0,12.0,10,0.0012584496677663381,0.6921658747631427
18,7,12.0,14.0,10,0.1540855240557873,0.7555080859682577
18,8,14.0,16.0,10,0.016890790731116642,0.7345111210017732
18,9,16.0,18.0,6,0.08646214607722232,0.7889134655385636
18,10,18.0,20.0,12,0.29763156327850754,0.7671767700812433
18,11,20.0,22.0,10,0.0006025325221620361,0.7658347279827712
18,12,22.0,24.0,10,0.12267899778054245,0.7705131625217214
19,1,0.0,2.0,10,-0.03280084683169576,0.7743432827430478
19,2,2.0,4.0,12,0.007008835527063789,0.7432048760099296
19,3,4.0,6.0,10,0.019508845309894676,0.7783485234963506
19,4,6.0,8.0,8,0.08521954230054964,0.7674422638952014
19,5,8.0,10.0,10,0.016547973516799704,0.7219899647965796
19,6,10.0,12.0,10,-0.05243042068081385,0.7793404391539558
19,7,12.0,14.0,10,0.1867530280550602,0.7802407453126479
19,8,14.0,16.0,10,0.04428037633990697,0.7730037690915293
19,9,16.0,18.0,6,-0.06533795618372326,0.7915137403294279
19,10,18.0,20.0,12,-0.14091517188452568,0.7308031209761771
19,11,20.0,22.0,10,0.01909551342767373,0.7935547562144296
19,12,22.0,24.0,10,0.08834195723376076,0.7516718262053601
20,1,0.0,2.0,10,0.05960389509783195,0.7417975043037223
20,2,2.0,4.0,12,0.002602822365564796,0.7430391360270423
20,3,4.0,6.0,10,0.05750768782446381,0.720502560439562
20,4,6.0,8.0,8,0.021735144144445488,0.7654523636573741
20,5,8.0,10.0,10,0.21505733299488544,0.7217321889433763
20,6,10.0,12.0,10,0.25523236008865857,0.7530464442227568
20,7,12.0,14.0,10,0.42825777432532064,0.7739123358321579
20,8,14.0,16.0,10,0.4245993213539191,0.7743758855051561
20,9,16.0,18.0,6,0.049848032006590395,0.8006131986160178
20,10,18.0,20.0,12,0.15322942166718456,0.7336978682293832
20,11,20.0,22.0,10,0.28094269972424923,0.7328471002283518
20,12,22.0,24.0,10,0.09787025791150394,0.740494440134049
21,1,0.0,2.0,10,0.06458038167374643,0.7466788090939889
21,2,2.0,4.0,12,0.009192674016800226,0.7245919159961273
21,3,4.0,6.0,10,-0.029627743391372,0.7710376330567252
21,4,6.0,8.0,8,-0.018181090705239746,0.8241297268505814
21,5,8.0,10.0,10,-0.04625889825260613,0.7046382179702105
21,6,10.0,12.0,10,0.25347262340403076,0.7251410492207977
21,7,12.0,14.0,10,0.21405486065951287,0.7475385728389592
21,8,14.0,16.0,10,0.17091588998694152,0.7840308663115129
21,9,16.0,18.0,6,-0.06064784857251031,0.7766286140377484
21,10,18.0,20.0,12,0.012941977021320097,0.7446089262914162
21,11,20.0,22.0,10,0.08248545201486158,0.7523830219647072
