block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
9,9,16.0,18.0,9,0.10967006842810102,0.763183794068596
9,10,18.0,20.0,13,-0.030369665063344486,0.7494018035997639
9,11,20.0,22.0,9,-0.09141313200726983,0.7641523444730265
9,12,22.0,24.0,11,-0.15788414986851151,0.7314504271020057
10,1,0.0,2.0,15,-0.04678064676332695,0.7122799719760331
10,2,2.0,4.0,11,-0.024257412755607964,0.7526033060538578
10,3,4.0,6.0,8,-0.15975404748293223,0.7901054140964084
10,4,6.0,8.0,11,0.10714487471037751,0.7733283113886289
10,5,8.0,10.0,9,-0.07113523563466516,0.7505011400421725
10,6,10.0,12.0,14,0.16606146319946968,0.7614706549278994
10,7,12.0,14.0,8,-0.027947131499788343,0.7865489161819434
10,8,14.0,16.0,12,-0.18819513300103874,0.7358077655207066
10,9,16.0,18.0,9,-0.22012762830885793,0.7554942460981943
10,10,18.0,20.0,13,-0.13048474071072738,0.726729555898735
10,11,20.0,22.0,9,-0.09589638559821985,0.7510943320140518
10,12,22.0,24.0,11,-0.21677377162831196,0.7156924116866868
11,1,0.0,2.0,15,-0.045298233295658456,0.7078201051365527
11,2,2.0,4.0,11,-0.15791151466155798,0.7396323483685123
11,3,4.0,6.0,8,-0.1370286100040116,0.768680257968247
11,4,6.0,8.0,11,-0.059252057507681866,0.7684980190254634
11,5,8.0,10.0,9,0.0312055643737551,0.7663542031154549
11,6,10.0,12.0,14,0.2503380769292532,0.7572115723008952
11,7,12.0,14.0,8,0.03709233404571366,0.7930712356894027
11,8,14.0,16.0,12,0.11245011093042376,0.7424516374097405
11,9,16.0,18.0,9,-0.13893575641446895,0.7709900962377269
11,10,18.0,20.0,13,-0.10692911670745182,0.7496113373319343
11,11,20.0,22.0,9,0.16477906962338382,0.7376628192248682
11,12,22.0,24.0,11,0.08223407584579027,0.7363347852479011
12,1,0.0,2.0,15,-0.38448000357281514,0.7280903876551582
12,2,2.0,4.0,11,-0.19313984278707078,0.7673203489752468
12,3,4.0,6.0,8,-0.04011068646729213,0.7898182085332072
12,4,6.0,8.0,11,-0.27514574930774416,0.7587909583197481
12,5,8.0,10.0,9,-0.18555086210946162,0.7716740314896717
12,6,10.0,12.0,14,-0.26550340821807134,0.7454748005602363
12,7,12.0,14.0,8,-0.03267754494919429,0.7712891522340996
12,8,14.0,16.0,12,0.28049708658051503,0.7107957874551408
12,9,16.0,18.0,9,0.058625750802788,0.7701291118335329
12,10,18.0,20.0,13,-0.09415133431294213,0.7749008089460238
12,11,20.0,22.0,9,0.019637272947937573,0.7537071214938562
12,12,22.0,24.0,11,-0.13678244229748304,0.7325072160958342
13,1,0.0,2.0,15,-0.240843044138856,0.7396090254666651
13,2,2.0,4.0,11,-0.22267974416068734,0.7730041969783152
13,3,4.0,6.0,8,-0.11140548786523966,0.7959164646250338
13,4,6.0,8.0,11,-0.06704727745469824,0.7559180567239374
13,5,8.0,10.0,9,0.005996965265878659,0.777722027874836
13,6,10.0,12.0,14,-0.17368785084298752,0.7647317844391798
13,7,12.0,14.0,8,0.0704435697725528,0.7686975307305298
13,8,14.0,16.0,12,0.020493654763029102,0.7429504391139805
13,9,16.0,18.0,9,0.03312200476429559,0.7293903939179612
13,10,18.0,20.0,13,0.12121162150286784,0.763523252099964
13,11,20.0,22.0,9,-0.16919783347729891,0.7502498492541745
13,12,22.0,24.0,11,-0.3001941054869523,0.6830946901140333
14,1,0.0,2.0,15,-0.09241908054547918,0.7195254294791613
14,2,2.0,4.0,11,-0.12950758088821782,0.7649753645507704
14,3,4.0,6.0,8,-0.0660618892562003,0.7501337537064072
14,4,6.0,8.0,11,0.14277431109742095,0.7246563124165181
14,5,8.0,10.0,9,-0.005630690992550281,0.7364958860622376
14,6,10.0,12.0,14,0.010006777539385715,0.750935244219359
14,7,12.0,14.0,8,0.024154773375130063,0.7767541179784856
14,8,14.0,16.0,12,-0.0510746067690816,0.7587082729129176
14,9,16.0,18.0,9,0.0006803890624853913,0.7677864823839836
14,10,18.0,20.0,13,-0.005612285063714409,0.7693286728510188
14,11,20.0,22.0,9,-0.015680004657763515,0.7616517690467404
14,12,22.0,24.0,11,0.014693041981049598,0.7350697863742446
15,1,0.0,2.0,15,-0.26975529979346863,0.7363702956487587
15,2,2.0,4.0,11,-0.16672782985592294,0.7604981645920482
15,3,4.0,6.0,8,-0.14526572254047995,0.7584976359943747
15,4,6.0,8.0,11,0.07465243438517609,0.6968355550146611
15,5,8.0,10.0,9,0.1323080536474558,0.7887034288397835
15,6,10.0,12.0,14,-0.17935986207729476,0.7446808751427056
15,7,12.0,14.0,8,0.09259645225668876,0.7616418188677424
15,8,14.0,16.0,12,0.03484249779569105,0.7356296738692697
15,9,16.0,18.0,9,0.2179374538740943,0.7423513372374491
15,10,18.0,20.0,13,-0.22577639289792553,0.7383114059455856
15,11,20.0,22.0,9,-0.02184469281571051,0.7554611506678044
15,12,22.0,24.0,11,-0.18157015444229038,0.7166596184301621
16,1,0.0,2.0,15,-0.19011339627725746,0.6910745412191865
16,2,2.0,4.0,11,-0.17624831918060804,0.786871311968689
