block,time_min_ps,time_max_ps,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,water_frame_observations,mean_instantaneous_water_count,water_number_density_A-3,water_mass_density_g_cm-3,mean_tetrahedral_q,mean_HB_degree,fraction_degree_eq4,mean_P1_cos_theta,mean_P2
36,350.0,360.0,10,18.0,20.0,12290,12.29,0.03965244692756886,1.186205973181691,0.8154166931211624,3.70553295362083,0.7288852725793328,-0.09013895650459348,0.2581116497705429
36,350.0,360.0,11,20.0,22.0,9661,9.661,0.03117024326828664,0.9324602039795213,0.8418933999731618,3.737087258047821,0.7620329158472208,-0.10147408251886188,0.003004006958554673
36,350.0,360.0,12,22.0,24.0,9786,9.786,0.03157354317601212,0.9445249514691643,0.8926017206786434,3.8054363376251787,0.8230124667892909,0.11188547323913789,0.05500844034860956
37,360.0,370.0,1,0.0,2.0,8271,8.271,0.026685548294379344,0.7983002118946922,0.46827595078294526,2.761697497279652,0.18135654697134568,0.06623054740827031,-0.025798692495235493
37,360.0,370.0,2,2.0,4.0,12555,12.555,0.040507442731946876,1.211783237859734,0.8253202888037787,3.637116686579052,0.6988450816407805,0.002318715978683025,-0.020976685680681045
37,360.0,370.0,3,4.0,6.0,7822,7.822,0.02523689502582943,0.7549636389118949,0.8286475179152145,3.727946816670928,0.7540271030427,0.033228235161304645,-0.30182352425333986
37,360.0,370.0,4,6.0,8.0,10261,10.261,0.03310608282536893,0.9903709919298073,0.8359872109143115,3.720982360393724,0.7366728389045902,-0.05275776481457315,-0.25439430018554604
37,360.0,370.0,5,8.0,10.0,8974,8.974,0.028953706975427422,0.8661523517764439,0.8275017564934891,3.5958324047247605,0.7057053710719857,0.12671850731253226,0.04286892097246339
37,360.0,370.0,6,10.0,12.0,10856,10.856,0.035025790386142196,1.0477991899805075,0.8129180272465615,3.7401436993367723,0.7388540899042004,-0.005956014232017174,-0.06894777787121341
37,360.0,370.0,7,12.0,14.0,9320,9.32,0.03007004112001154,0.8995475728277755,0.8333700925368953,3.7047210300429185,0.7325107296137339,0.1747699971417846,-0.0855427538124342
37,360.0,370.0,8,14.0,16.0,10889,10.889,0.03513226156178172,1.0509842833177734,0.8054789918454097,3.646340343465883,0.6940031224171181,-0.14215974468093034,0.1703586895730872
37,360.0,370.0,9,16.0,18.0,5472,5.472,0.01765485676059047,0.5281463861066081,0.8641696554435317,3.841374269005848,0.8550804093567251,0.3302555273858725,-0.09406151801283835
37,360.0,370.0,10,18.0,20.0,12553,12.553,0.04050098993342327,1.2115902018998999,0.8200188656283223,3.7439655859157175,0.7322552377917629,-0.07991092617528657,0.25704048109695327
37,360.0,370.0,11,20.0,22.0,9443,9.443,0.03046688822921341,0.9114192843575841,0.847249681493181,3.755797945568146,0.7750714815207032,-0.09673698317455758,-0.004602779735387892
37,360.0,370.0,12,22.0,24.0,10035,10.035,0.032376916592201266,0.9685579284685328,0.884494189452185,3.8141504733432985,0.8292974588938714,0.0979776691778112,0.05358813176733652
38,370.0,380.0,1,0.0,2.0,8172,8.172,0.026366134767460764,0.7887449318828951,0.4543325213918533,2.6631179637787565,0.13264806656877143,0.13507828965092916,-0.10930260468975747
38,370.0,380.0,2,2.0,4.0,12432,12.432,0.040110595622745014,1.1999115263299256,0.8324229012113183,3.6465572715572714,0.7213642213642214,0.0004898682961811077,-0.009525736941487232
38,370.0,380.0,3,4.0,6.0,8153,8.153,0.026304833181486492,0.7869110902644693,0.7970475277695815,3.650558076781553,0.7221881516006378,-0.024557594460159846,-0.29070827113615205
38,370.0,380.0,4,6.0,8.0,9621,9.621,0.03104118729781449,0.9285994847828356,0.8360602452708695,3.7664483941378237,0.7747635380937532,-0.013998383969366559,-0.2499901183310593
38,370.0,380.0,5,8.0,10.0,8988,8.988,0.028998876565092674,0.8675036034952839,0.8557278329353694,3.6785714285714284,0.7392078326657766,0.07923646258794685,0.07856589611600767
38,370.0,380.0,6,10.0,12.0,11522,11.522,0.03717457229450354,1.112080164605325,0.8261853090102284,3.7475264710987677,0.7559451484117341,-0.047566277186606706,-0.024258036909985688
38,370.0,380.0,7,12.0,14.0,9135,9.135,0.029473157256577835,0.881691746543104,0.8366924305204334,3.685823754789272,0.7235905856595511,0.18664083687352906,-0.13127179858582563
38,370.0,380.0,8,14.0,16.0,10867,10.867,0.03506128077802204,1.0488608877595962,0.8088457519232408,3.6888745743995583,0.7275236955921598,-0.12679236280769474,0.19434398286672264
38,370.0,380.0,9,16.0,18.0,5826,5.826,0.018797002099269017,0.5623137509972768,0.8696635096765595,3.84998283556471,0.8595949193271541,0.3093937969053644,-0.09512647505417111
38,370.0,380.0,10,18.0,20.0,12278,12.278,0.03961373013642722,1.1850477574226854,0.8113331398463954,3.716077537058153,0.7372536243687897,-0.08625708307432763,0.2724482077011766
38,370.0,380.0,11,20.0,22.0,9692,9.692,0.03127026164540256,0.9354522613569528,0.8472061204259423,3.745150639702848,0.7682624845233182,-0.10097207282782374,-0.004077193250371452
38,370.0,380.0,12,22.0,24.0,9928,9.928,0.03203169187118826,0.9582305046173987,0.8899251110705777,3.812348912167607,0.8253424657534246,0.1058323658543868,0.03939139729292092
39,380.0,390.0,1,0.0,2.0,8582,8.582,0.02768895846480033,0.8283173036489239,0.4643172521540969,2.7690515031461196,0.15765555814495455,0.05180137202662387,-0.07758955117439
39,380.0,390.0,2,2.0,4.0,12307,12.307,0.03970729571501953,1.1878467788402824,0.844059382747876,3.66734378808808,0.7251970423336312,-0.010485035398702639,-0.009435233448932916
39,380.0,390.0,3,4.0,6.0,7954,7.954,0.02566277972838753,0.7677040122609577,0.7887937783894555,3.602464168971587,0.6620568267538346,-0.031856776532075186,-0.306795205963236
39,380.0,390.0,4,6.0,8.0,9614,9.614,0.031018602502981867,0.9279238589234158,0.832734750144742,3.7041814021219057,0.721031828583316,-0.02405387206312923,-0.22639049255376503
39,380.0,390.0,5,8.0,10.0,9061,9.061,0.029234403711204355,0.8745494160292354,0.8506326862722772,3.5902218298201083,0.683147555457455,0.05916209531989742,0.11127373181695899
39,380.0,390.0,6,10.0,12.0,11431,11.431,0.03688096996167939,1.103297028432865,0.8277418073464042,3.7072872014696876,0.7386055463214067,-0.06177419697319627,-0.023690947051346615
39,380.0,390.0,7,12.0,14.0,8994,8.994,0.029018234960663497,0.8680827113747868,0.8335587334006294,3.6782299310651547,0.7205915054480765,0.20394758678169794,-0.1337301522586874
39,380.0,390.0,8,14.0,16.0,11008,11.008,0.035516203073936374,1.0624699229279133,0.8091551818479066,3.685955668604651,0.7220203488372093,-0.13680520051082787,0.19727783710332145
39,380.0,390.0,9,16.0,18.0,5764,5.764,0.018596965345037183,0.556329636242414,0.8637665056936096,3.8551353226925746,0.8653712699514227,0.30925146541419696,-0.09736829123287423
39,380.0,390.0,10,18.0,20.0,12364,12.364,0.039891200472942354,1.1933483036955599,0.8126669352029802,3.7279197670656745,0.7465221611129085,-0.08994330365884316,0.26697075415714894
39,380.0,390.0,11,20.0,22.0,9688,9.688,0.03125735604835535,0.9350661894372844,0.8451116168107335,3.7433938893476464,0.7665152766308836,-0.1009753188554623,-0.0053199415351817434
