r_A,pair,ML_g,ML_sem,AIMD_g,AIMD_sem,difference_ML_minus_AIMD
0.73500,O-O,0,0,0,0,0
0.73500,O-H,0,0,0,0,0
0.74500,Si-O,0,0,0,0,0
0.74500,O-O,0,0,0,0,0
0.74500,O-H,0,0,0,0,0
0.75500,Si-O,0,0,0,0,0
0.75500,O-O,0,0,0,0,0
0.75500,O-H,0,0,0,0,0
0.76500,Si-O,0,0,0,0,0
0.76500,O-O,0,0,0,0,0
0.76500,O-H,0,0,0,0,0
0.77500,Si-O,0,0,0,0,0
0.77500,O-O,0,0,0,0,0
0.77500,O-H,0,0,0,0,0
0.78500,Si-O,0,0,0,0,0
0.78500,O-O,0,0,0,0,0
0.78500,O-H,0,0,0,0,0
0.79500,Si-O,0,0,0,0,0
0.79500,O-O,0,0,0,0,0
0.79500,O-H,0,0,0,0,0
0.80500,Si-O,0,0,0,0,0
0.80500,O-O,0,0,0,0,0
0.80500,O-H,0,0,0,0,0
0.81500,Si-O,0,0,0,0,0
0.81500,O-O,0,0,0,0,0
0.81500,O-H,0,0,0,0,0
0.82500,Si-O,0,0,0,0,0
0.82500,O-O,0,0,0,0,0
0.82500,O-H,0,0,0,0,0
0.83500,Si-O,0,0,0,0,0
0.83500,O-O,0,0,0,0,0
0.83500,O-H,0,0,0,0,0
0.84500,Si-O,0,0,0,0,0
0.84500,O-O,0,0,0,0,0
0.84500,O-H,0,0,0,0,0
0.85500,Si-O,0,0,0,0,0
0.85500,O-O,0,0,0,0,0
0.85500,O-H,0,0,0,0,0
0.86500,Si-O,0,0,0,0,0
0.86500,O-O,0,0,0,0,0
0.86500,O-H,0,0,0,0,0
0.87500,Si-O,0,0,0,0,0
0.87500,O-O,0,0,0,0,0
0.87500,O-H,0,0,0,0,0
0.88500,Si-O,0,0,0,0,0
0.88500,O-O,0,0,0,0,0
0.88500,O-H,0,0,0.001888146923,0.001887202613,-0.001888146923
0.89500,Si-O,0,0,0,0,0
0.89500,O-O,0,0,0,0,0
0.89500,O-H,0.007384759392,0.003684987537,0.00923094924,0.004117872552,-0.001846189848
0.90500,Si-O,0,0,0,0,0
0.90500,O-O,0,0,0,0,0
0.90500,O-H,0.06861340414,0.01091703504,0.08486394722,0.01208427916,-0.01625054309
0.91500,Si-O,0,0,0,0,0
0.91500,O-O,0,0,0,0,0
0.91500,O-H,0.3126465947,0.02393870934,0.3356093389,0.02408352934,-0.02296274424
0.92500,Si-O,0,0,0,0,0
0.92500,O-O,0,0,0,0,0
0.92500,O-H,1.183940354,0.04493040286,1.275544498,0.04769063876,-0.09160414417
0.93500,Si-O,0,0,0,0,0
0.93500,O-O,0,0,0,0,0
0.93500,O-H,3.559142047,0.08100634498,3.694470642,0.0778901007,-0.1353285949
0.94500,Si-O,0,0,0,0,0
0.94500,O-O,0,0,0,0,0
0.94500,O-H,8.351187716,0.1168287382,8.400867595,0.1189976978,-0.04967987933
0.95500,Si-O,0,0,0,0,0
0.95500,O-O,0,0,0,0,0
0.95500,O-H,16.1079544,0.1542183249,16.15822082,0.1539634975,-0.050266417
0.96500,Si-O,0,0,0,0,0
0.96500,O-O,0,0,0,0,0
0.96500,O-H,26.33647966,0.1989520046,26.20149408,0.1990727403,0.1349855747
0.97500,Si-O,0,0,0,0,0
0.97500,O-O,0,0,0,0,0
0.97500,O-H,35.52187695,0.2231077354,35.52498826,0.2195908335,-0.003111314439
0.98500,Si-O,0,0,0,0,0
0.98500,O-O,0,0,0,0,0
0.98500,O-H,41.61759996,0.2396563293,41.34476263,0.227071397,0.2728373276
0.99500,Si-O,0,0,0,0,0
0.99500,O-O,0,0,0,0,0
0.99500,O-H,42.30740447,0.2295937253,41.7965429,0.2262750512,0.5108615729
1.00500,Si-O,0,0,0,0,0
1.00500,O-O,0,0,0,0,0
1.00500,O-H,38.20456462,0.2270942387,37.96004838,0.2335086902,0.2445162416
1.01500,Si-O,0,0,0,0,0
1.01500,O-O,0,0,0,0,0
1.01500,O-H,30.55952586,0.1886387751,30.41310886,0.1986131705,0.1464170059
1.02500,Si-O,0,0,0,0,0
1.02500,O-O,0,0,0,0,0
1.02500,O-H,21.85140698,0.1682608712,21.83310833,0.1699973201,0.0182986531
1.03500,Si-O,0,0,0,0,0
1.03500,O-O,0,0,0,0,0
