block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
15,2,2.0,4.0,2,0.011235947622188634,0.89327536914422
15,3,4.0,6.0,12,-0.1911541959854638,0.7247610096887785
15,4,6.0,8.0,13,-0.16925551087213525,0.7268293068054136
15,5,8.0,10.0,6,-0.04995691189609646,0.7702236604688633
15,6,10.0,12.0,13,-0.17277873671984478,0.7477648264702417
15,7,12.0,14.0,10,-0.24805774150324056,0.7659573112105618
15,8,14.0,16.0,12,0.029342488762208692,0.7190391482365667
15,9,16.0,18.0,11,-0.1483399214563126,0.7442530977983367
15,10,18.0,20.0,11,-0.20194790344998778,0.7679298989913341
15,11,20.0,22.0,8,-0.023936145171386897,0.7556225008377965
15,12,22.0,24.0,13,0.052547666815846786,0.7503388019028971
15,13,24.0,26.0,9,-0.28740911609298,0.7702200255644432
15,14,26.0,28.0,11,-0.09226978564458461,0.7646878793360357
15,15,28.0,30.0,12,-0.015157399294149212,0.7742178944329969
15,16,30.0,32.0,9,-0.1034813202616776,0.7692533329294075
15,17,32.0,34.0,11,0.16126302870557435,0.75714966995336
15,18,34.0,36.0,9,0.1347897539906215,0.7796722804897702
15,19,36.0,38.0,10,-0.027283005219270066,0.7735985948882197
15,20,38.0,40.0,14,-0.15401307386936872,0.7502021443551716
15,21,40.0,42.0,2,0.08381494859796894,0.8007104884059568
16,1,0.0,2.0,2,-0.1490294626624564,0.8824219170287371
16,2,2.0,4.0,2,0.02637193089221021,0.9077865997653856
16,3,4.0,6.0,12,-0.20015973775151844,0.7009392168056273
16,4,6.0,8.0,13,0.051911165578304726,0.7122245296936436
16,5,8.0,10.0,6,-0.21175300030776084,0.7834106022888474
16,6,10.0,12.0,13,-0.05897950963457425,0.7509107036827184
16,7,12.0,14.0,10,-0.22545185949406218,0.7759620516644217
16,8,14.0,16.0,12,-0.0937507175636301,0.7611031956007529
16,9,16.0,18.0,11,-0.08254304576492895,0.7776865276659538
16,10,18.0,20.0,11,-0.1001383320412488,0.7927360976998988
16,11,20.0,22.0,8,-0.12246458282145269,0.7618201403545413
16,12,22.0,24.0,13,-0.17380834235127632,0.7273403127842323
16,13,24.0,26.0,9,-0.20380176212710155,0.79044288436342
16,14,26.0,28.0,11,0.02525189593624978,0.7825758165755085
16,15,28.0,30.0,12,-0.1588635601720896,0.7367494238287304
16,16,30.0,32.0,9,0.05286200289703263,0.7766626903792355
16,17,32.0,34.0,11,-0.03301441928397614,0.7543587020584249
16,18,34.0,36.0,9,-0.10913117594145214,0.756857020381171
16,19,36.0,38.0,10,-0.09460736419323061,0.7346402629659687
16,20,38.0,40.0,14,-0.3467206646217668,0.6960348257477016
16,21,40.0,42.0,2,-0.0010303298900240497,0.8101565303602329
17,1,0.0,2.0,2,-0.05761181127462752,0.8713773653560974
17,2,2.0,4.0,2,0.04100510050961735,0.8551196764659207
17,3,4.0,6.0,12,-0.05820464761984833,0.7349073144620619
17,4,6.0,8.0,13,-0.0404775686781353,0.7025529975430997
17,5,8.0,10.0,6,-0.06393311452625115,0.7813022863812973
17,6,10.0,12.0,13,-0.09646369906482195,0.7438416859534919
17,7,12.0,14.0,10,-0.04556750486650676,0.7555076003022806
17,8,14.0,16.0,12,-0.06342544635805562,0.6813253852449134
17,9,16.0,18.0,11,-0.23146838431136957,0.7134880327710698
17,10,18.0,20.0,11,-0.030382196555086984,0.7542553667799422
17,11,20.0,22.0,8,0.040700666048287204,0.7331489033452755
17,12,22.0,24.0,13,-0.130166058853634,0.7411595011266644
17,13,24.0,26.0,9,-0.04626407813733036,0.7661737932587084
17,14,26.0,28.0,11,-0.14601177622861325,0.7841044237650349
17,15,28.0,30.0,12,-0.07632202223589334,0.7525012092719005
17,16,30.0,32.0,9,-0.14813472077224185,0.7680409305190622
17,17,32.0,34.0,11,0.11218343226776052,0.7322442844258948
17,18,34.0,36.0,9,-0.14774236914669958,0.7608910736870682
17,19,36.0,38.0,10,-0.23361145742736167,0.745841475666133
17,20,38.0,40.0,14,-0.29507069150315424,0.7191780778889354
17,21,40.0,42.0,2,-0.13345041581999093,0.854934711613743
18,1,0.0,2.0,2,0.05750372445306683,0.8801440636956626
18,2,2.0,4.0,2,0.050445759504942865,0.8336259878036417
18,3,4.0,6.0,12,-0.03445608542103318,0.7034550858847111
18,4,6.0,8.0,13,0.018853814706712706,0.7192814255636737
18,5,8.0,10.0,6,-0.16653701315070804,0.8023603687575114
18,6,10.0,12.0,13,-0.06690094676827113,0.7510824780775208
18,7,12.0,14.0,10,-0.05577950252211634,0.7404365815489212
18,8,14.0,16.0,12,-0.07240329823830392,0.7279790059296272
18,9,16.0,18.0,11,0.04961832520823632,0.778094716328551
18,10,18.0,20.0,11,0.16871166103881613,0.7613063475920916
18,11,20.0,22.0,8,-0.01744518371152917,0.7709930837989667
18,12,22.0,24.0,13,-0.25035019023925115,0.76883685463774
18,13,24.0,26.0,9,0.0151012031940444,0.755720214140248
18,14,26.0,28.0,11,0.0614807400848355,0.757181720175209
18,15,28.0,30.0,12,-0.06284911982837059,0.7161391766296696
18,16,30.0,32.0,9,0.01411560578928019,0.7983791395945045
18,17,32.0,34.0,11,-0.14166353495585735,0.7489435696540071
18,18,34.0,36.0,9,-0.04317677322626559,0.7429832395789902
18,19,36.0,38.0,10,-0.15926612209187097,0.7894027397122857
18,20,38.0,40.0,14,-0.2787559289830533,0.6927465875208593
18,21,40.0,42.0,2,-0.11822990117633352,0.8613523044304502
19,1,0.0,2.0,2,0.015379196687979425,0.8001778841182061
19,2,2.0,4.0,2,0.06856267490089858,0.8104417854765233
19,3,4.0,6.0,12,-0.009708826676549258,0.7003837110048126
19,4,6.0,8.0,13,-0.13561588290956797,0.7145177821729776
19,5,8.0,10.0,6,-0.03634639884205781,0.7594848113975903
19,6,10.0,12.0,13,-0.1465466514223542,0.7494497288550528
19,7,12.0,14.0,10,-0.11788488972050426,0.759473805960535
19,8,14.0,16.0,12,-0.15041707312114266,0.7118389513722273
19,9,16.0,18.0,11,0.3012682880416287,0.7683256922373536
19,10,18.0,20.0,11,-0.10460072601923963,0.7652802105932165
19,11,20.0,22.0,8,0.11135524064958592,0.740016015561743
19,12,22.0,24.0,13,0.03813401170105875,0.7230865270414765
19,13,24.0,26.0,9,-0.08819226480940441,0.742322024065088
19,14,26.0,28.0,11,0.1561310355070118,0.7620825216922886
19,15,28.0,30.0,12,-0.15488229280247345,0.7304609898263247
19,16,30.0,32.0,9,-0.2529532348383871,0.7549525571029531
19,17,32.0,34.0,11,-0.17133054533535297,0.7484397247066947
19,18,34.0,36.0,9,-0.2646352121853149,0.7471508521399074
19,19,36.0,38.0,10,-0.16074777063792142,0.7476190360936265
19,20,38.0,40.0,14,-0.33552839924018313,0.7340524633827916
19,21,40.0,42.0,2,-0.0043386701308965525,0.8167724061338777
20,1,0.0,2.0,2,0.028659565395140404,0.8490725469347224
20,2,2.0,4.0,2,0.11948616189023985,0.8451842259281754
20,3,4.0,6.0,12,-0.09945675117570883,0.7481742996767542
20,4,6.0,8.0,13,-0.0017013284066266774,0.7057183036578467
20,5,8.0,10.0,6,0.08646371494014364,0.7823781607331101
20,6,10.0,12.0,13,-0.05705953906319058,0.7534964457271933
20,7,12.0,14.0,10,0.014150401758658365,0.7505999551992818
20,8,14.0,16.0,12,0.10286447307787482,0.7372903982985582
20,9,16.0,18.0,11,-0.10839898026327986,0.7634114528562642
20,10,18.0,20.0,11,0.0989058048285596,0.694449558314145
20,11,20.0,22.0,8,-0.023387147654738403,0.7766307980456226
20,12,22.0,24.0,13,-0.1632124753741394,0.7198506749588941
20,13,24.0,26.0,9,-0.12718299068517683,0.7364390826262928
20,14,26.0,28.0,11,0.08005858971259378,0.7838110168617015
20,15,28.0,30.0,12,-0.12658173820910232,0.7266206962096146
20,16,30.0,32.0,9,-0.1721010062539476,0.7462937648810858
20,17,32.0,34.0,11,-0.022461986935412515,0.7359302951387434
