block,time_min_ps,time_max_ps,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,water_frame_observations,mean_instantaneous_water_count,water_number_density_A-3,water_mass_density_g_cm-3,mean_tetrahedral_q,mean_HB_degree,fraction_degree_eq4,mean_P1_cos_theta,mean_P2
21,200.0,210.0,4,6.0,8.0,9713,9.713,0.02895823285215334,0.8662877437237801,0.8708909964215475,3.8015031401214867,0.8127252136312159,0.03961319288744659,-0.014493654139248555
21,200.0,210.0,5,8.0,10.0,10343,10.343,0.03083650801913127,0.9224764885550354,0.8843740471166861,3.7443681717103354,0.7256115247026975,-0.06145734508283797,-0.11344435720712125
21,200.0,210.0,6,10.0,12.0,12111,12.111,0.0361076040432852,1.0801617280179865,0.8452703337959004,3.814548757328049,0.7136487490710924,-0.04723145752977428,0.07778434482898773
21,200.0,210.0,7,12.0,14.0,9983,9.983,0.029763207923715312,0.8903686343657468,0.8767015467359633,3.740458779925874,0.7801262145647601,-0.010722866258754014,-0.03419040559685436
21,200.0,210.0,8,14.0,16.0,11394,11.394,0.03396994801991508,1.0162135850909866,0.8853591381295464,3.739160961909777,0.767509215376514,0.02479852734204668,-0.0236182224803981
21,200.0,210.0,9,16.0,18.0,10081,10.081,0.030055384060800765,0.8991091057839419,0.867416095552331,3.7729391925404228,0.7922825116555897,0.0033164451050283882,0.2302196089586044
21,200.0,210.0,10,18.0,20.0,11884,11.884,0.03543082870534236,1.0599159421819626,0.8745634462899732,3.8428138673847188,0.7939246045102659,-0.027655336012808247,-0.059982796498730326
21,200.0,210.0,11,20.0,22.0,11072,11.072,0.033009940712348584,0.9874948932883448,0.8384927954186006,3.6744942196531793,0.7188403179190751,-0.0836669334923838,-0.32138560999636023
21,200.0,210.0,12,22.0,24.0,8879,8.879,0.02647175429777304,0.7919045481852615,0.4269810564631813,2.8116905056875776,0.1802004730262417,-0.1644181230323957,-0.13146848407203754
22,210.0,220.0,1,0.0,2.0,14957,14.957,0.04459263757537914,1.3339921530810852,0.6668543547406907,3.1465534532326003,0.384569098081166,0.13290442204341116,-0.08640319472637883
22,210.0,220.0,2,2.0,4.0,11320,11.32,0.033749325222524024,1.0096136372854105,0.8722645266912162,3.8128975265017666,0.8207597173144876,-0.11985066726608201,0.16219801034426318
22,210.0,220.0,3,4.0,6.0,7725,7.725,0.023031231214134106,0.6889810378118194,0.8755444324148719,3.831326860841424,0.8420711974110032,-0.012337489741987265,-0.0657711902480067
22,210.0,220.0,4,6.0,8.0,11212,11.212,0.03342733519389923,0.9999812810286237,0.8709349110915865,3.785943631823047,0.8071708883339279,0.08442451379701234,-0.02344795985790888
22,210.0,220.0,5,8.0,10.0,8926,8.926,0.0266118795880079,0.7960964069266407,0.8748749218202657,3.7071476585256553,0.7077078198521174,-0.11900951256291603,-0.10514171450200602
22,210.0,220.0,6,10.0,12.0,12461,12.461,0.03715109024716182,1.1113776973686837,0.8441552129408773,3.7565203434716317,0.6844555011636305,-0.04218392930506153,0.0855640823393116
22,210.0,220.0,7,12.0,14.0,10136,10.136,0.03021936046426709,0.9040144723961943,0.8859002694157592,3.7457576953433307,0.778906866614049,-0.008719827918920476,-0.03875490794646576
22,210.0,220.0,8,14.0,16.0,11717,11.717,0.03493293671663551,1.0450214653774872,0.8832340824579519,3.7213450541947597,0.7487411453443714,0.022729049737330545,-0.02442107757932384
22,210.0,220.0,9,16.0,18.0,9871,9.871,0.029429292338474793,0.8803795241735236,0.8818221164187084,3.8129875392564077,0.8148110627089454,0.005783415643424485,0.22924719260764653
22,210.0,220.0,10,18.0,20.0,12161,12.161,0.036256673500981856,1.084621152210943,0.8813489046233558,3.817860373324562,0.7813502179097114,-0.021095450879836733,-0.05258078418688327
22,210.0,220.0,11,20.0,22.0,10868,10.868,0.03240173732494621,0.9693004425810813,0.8370310075646474,3.655134339344866,0.701601030548399,-0.07278902518060014,-0.3405353201333865
22,210.0,220.0,12,22.0,24.0,8411,8.411,0.025076464173732292,0.7501643377391861,0.4051530613421255,2.745333491855903,0.10878611342289858,-0.1346967717926414,-0.12276252125930161
23,220.0,230.0,1,0.0,2.0,14656,14.656,0.04369523944004524,1.3071464194394855,0.6573392154498746,3.117085152838428,0.3345387554585153,0.13420921038693043,-0.06458359717067207
23,220.0,230.0,2,2.0,4.0,11153,11.153,0.03325143323381718,0.9947191604809349,0.8656647922998462,3.804536895902448,0.8065094593382947,-0.1241803771745273,0.17174101800586059
23,220.0,230.0,3,4.0,6.0,8093,8.093,0.02412838242278153,0.7218023998719811,0.8744451674406022,3.835907574447053,0.8178672927221056,-0.013165007534443312,-0.05384108623037847
23,220.0,230.0,4,6.0,8.0,10851,10.851,0.03235105370932935,0.9677842383554762,0.8762621745587189,3.8072988664639205,0.8237950419316192,0.08184014672043388,-0.016160078031939095
23,220.0,230.0,5,8.0,10.0,9206,9.206,0.0274466685511092,0.8210691824071986,0.8767380049020239,3.670649576363241,0.7068216380621334,-0.11577396326855938,-0.12299935300019428
23,220.0,230.0,6,10.0,12.0,12284,12.284,0.036623384366915646,1.0955913357256168,0.8524100620839046,3.785330511234126,0.6897590361445783,-0.04172628475682334,0.07955678422875001
23,220.0,230.0,7,12.0,14.0,10203,10.203,0.030419113537580617,0.9099901008147563,0.8888072065399825,3.726453004018426,0.7656571596589239,0.003929365856060685,-0.010698631666087182
23,220.0,230.0,8,14.0,16.0,11669,11.669,0.03478983003724672,1.0407404181522488,0.8754036563815659,3.7063158796812066,0.7407661324877881,0.026208646045821102,-0.03145350462500661
23,220.0,230.0,9,16.0,18.0,9876,9.876,0.029444199284244455,0.8808254665928191,0.873803637889003,3.7650870797893883,0.7847306601863102,0.02099350072042262,0.26690626031605735
23,220.0,230.0,10,18.0,20.0,12325,12.325,0.036745621322226904,1.0992480635638413,0.8771586580674645,3.7791480730223124,0.7032048681541582,0.015938985422417506,-0.0007454496546035898
23,220.0,230.0,11,20.0,22.0,10088,10.088,0.0300762537848783,0.8997334251709559,0.842954273064985,3.7140166534496433,0.7451427438540841,-0.08576511682035644,-0.30913068375856867
23,220.0,230.0,12,22.0,24.0,9341,9.341,0.027849156086890182,0.8331096277281818,0.44053374692818004,2.8602933304785356,0.1260036398672519,-0.04393669151658435,-0.03851088640004365
24,230.0,240.0,1,0.0,2.0,13971,13.971,0.041652987869600984,1.2460523079959778,0.6785064385908671,3.2128695154248086,0.3816476988046668,0.10113997373614352,-0.0745051674009029
24,230.0,240.0,2,2.0,4.0,10736,10.736,0.032008193956627025,0.9575275627116755,0.8708578182904774,3.7765461997019374,0.793871087928465,-0.1595760737115747,0.1487697343097298
24,230.0,240.0,3,4.0,6.0,8529,8.529,0.025428268093896412,0.7606885788345641,0.8753143069710804,3.820260288427717,0.8328057216555282,-0.0017909039257904638,-0.04522733405210141
24,230.0,240.0,4,6.0,8.0,10336,10.336,0.030815638295053738,0.9218521691680214,0.8744088457829412,3.8041795665634677,0.8233359133126935,0.06981999987606273,-0.015277011838578138
24,230.0,240.0,5,8.0,10.0,9722,9.722,0.02898506535453874,0.8670904400785123,0.8793283292724757,3.7144620448467394,0.7180621271343345,-0.10552613249438952,-0.12072958099167456
24,230.0,240.0,6,10.0,12.0,12236,12.236,0.03648027768752685,1.0913102885003783,0.8427042635241413,3.7815462569467146,0.692056227525335,-0.05147026909645997,0.07612477584899996
24,230.0,240.0,7,12.0,14.0,10016,10.016,0.029861593765795107,0.8933118543330981,0.8827287938851286,3.7197484025559104,0.7658746006389776,0.010344090644849278,-0.017349779349055756
24,230.0,240.0,8,14.0,16.0,11534,11.534,0.03438734250146573,1.0286999728312654,0.8782515396689952,3.701231142708514,0.7369516212935668,0.03342922003236597,-0.04281381841478579
24,230.0,240.0,9,16.0,18.0,9878,9.878,0.029450162062552323,0.8810038435605375,0.8700541836256078,3.7716136869811705,0.7880137679692245,0.014150831783790627,0.25047798677115896
24,230.0,240.0,10,18.0,20.0,12425,12.425,0.03704376023762023,1.1081669119497548,0.887701348835967,3.9101006036217303,0.7512273641851107,-0.05615593948785223,-0.05673136322187409
24,230.0,240.0,11,20.0,22.0,10050,10.05,0.029962960997028838,0.8963442627843088,0.8252464820441893,3.598805970149254,0.6790049751243781,-0.09097154852927868,-0.2713567469395762
24,230.0,240.0,12,22.0,24.0,9063,9.063,0.027020329902096754,0.8083152292153424,0.4744782072765738,2.8338298576630256,0.20721615359152598,-0.10816700119731254,0.06293304208133722
25,240.0,250.0,1,0.0,2.0,13850,13.85,0.04129223978197506,1.2352605014490226,0.6848349845116906,3.304476534296029,0.45407942238267146,0.09773600868001033,-0.07889065822817655
25,240.0,250.0,2,2.0,4.0,9919,9.919,0.02957239901786359,0.8846605713987621,0.8644674466079462,3.7463453977215444,0.7663070874080048,-0.19685705951425952,0.13068330074025547
25,240.0,250.0,3,4.0,6.0,9584,9.584,0.028573633651295956,0.8547824293059517,0.8672535584751768,3.7779632721202003,0.7958055091819699,0.013556192911417242,-0.04014553806760691
25,240.0,250.0,4,6.0,8.0,9513,9.513,0.028361955021366698,0.8484500469519531,0.8703245703268203,3.7925996005466205,0.8091033322821403,0.04932910623203387,-0.005853514380513467
25,240.0,250.0,5,8.0,10.0,10514,10.514,0.031346325564453846,0.9377277192949474,0.8833242578743233,3.7315008560015217,0.7294084078371695,-0.07796786292166431,-0.12669561213398012
25,240.0,250.0,6,10.0,12.0,11820,11.82,0.03524001979949063,1.054207879214978,0.8431852636954835,3.805160744500846,0.7066835871404399,-0.042289523248622424,0.06443433636431775
25,240.0,250.0,7,12.0,14.0,10224,10.224,0.030481722709813218,0.9118630589757983,0.8720520942425694,3.7167449139280127,0.7683881064162754,-0.003907054288629646,-0.0020518110313892286
25,240.0,250.0,8,14.0,16.0,11220,11.22,0.033451186307130704,1.000694788899497,0.8840192459472798,3.731372549019608,0.7598930481283422,0.0251559136162676,-0.02787795681783708
25,240.0,250.0,9,16.0,18.0,10033,10.033,0.029912277381411972,0.8948280585587034,0.8679440104218409,3.7498255756005183,0.7738463071862852,0.01718306166982983,0.2430308600953264
25,240.0,250.0,10,18.0,20.0,12242,12.242,0.03649816602245045,1.0918454194035332,0.8764020607207887,3.7926809344878287,0.7204705113543539,-0.0015185304480585912,-0.014160010981081318
25,240.0,250.0,11,20.0,22.0,10123,10.123,0.03018060240526596,0.9028550221060255,0.8436611861346427,3.677072014225032,0.7216240244986664,-0.08274226813050896,-0.2946394085161278
25,240.0,250.0,12,22.0,24.0,9701,9.701,0.028922456182306145,0.8652174819174706,0.48782290300610964,2.875167508504278,0.1699824760333986,-0.06950684151447219,-0.04766450653799264
26,250.0,260.0,1,0.0,2.0,14322,14.322,0.04269945546263154,1.2773574658305342,0.6875721647232794,3.18251640832286,0.3794861052925569,0.12451102811391854,-0.085954104855658
26,250.0,260.0,2,2.0,4.0,10666,10.666,0.0317994967158517,0.9512843688415361,0.8681761557203866,3.802081380086255,0.7960810050628164,-0.17103659657704956,0.1540215904056116
26,250.0,260.0,3,4.0,6.0,8730,8.73,0.026027527313836993,0.7786154640902504,0.877671567644899,3.80836197021764,0.8213058419243986,0.012739410833357064,-0.04958235889543681
26,250.0,260.0,4,6.0,8.0,10327,10.327,0.03078880579266834,0.9210494728132892,0.8781743650003041,3.8307349665924275,0.8431296601142636,0.0679078386147105,-0.017144463470636435
26,250.0,260.0,5,8.0,10.0,9781,9.781,0.029160967314620805,0.8723525606262015,0.8869825205990017,3.7352008997035067,0.7469583887128105,-0.0981294062224229,-0.12396971956599073
26,250.0,260.0,6,10.0,12.0,12158,12.158,0.03624772933352006,1.0843535867593657,0.8488634187669181,3.7944563250534626,0.7052969238361573,-0.04875584361811763,0.07435485999342135
26,250.0,260.0,7,12.0,14.0,10132,10.132,0.03020743490765136,0.9036577184607577,0.8856126984353202,3.723055665219108,0.7742795104619029,0.004967220391973291,-0.019998910933122456
26,250.0,260.0,8,14.0,16.0,11377,11.377,0.03391926440429822,1.0146973808653812,0.8849966452225575,3.7179397029093786,0.7519557000966863,0.036275891581819104,-0.036856048726145396
26,250.0,260.0,9,16.0,18.0,9994,9.994,0.029796003204408575,0.8913497076881971,0.8768540926137723,3.7736641985191115,0.7890734440664399,0.002258383581216471,0.2422595258583699
26,250.0,260.0,10,18.0,20.0,11979,11.979,0.03571406067496601,1.0683888481485806,0.8783017479052898,3.8138408882210535,0.7104933633859254,-0.008712376202508226,-0.016054448434951782
26,250.0,260.0,11,20.0,22.0,10681,10.681,0.03184421755316069,0.9526221960994229,0.8259261276333983,3.6451643104578224,0.6961894953656025,-0.08494184248536951,-0.2945872271861484
26,250.0,260.0,12,22.0,24.0,8862,8.862,0.026421070682156177,0.7903883439596562,0.46609923494130007,2.8956217558113293,0.1966824644549763,-0.08346097639325781,-0.11809692609418168
