system,group,O_serial_1based,time_ps,relative_depth,dx_A,dy_A
Oil,1,457,320.8,0.2700211010626851,0.4324470758438155,1.0228156389884973
Oil,1,457,320.90000000000003,0.2570163797912122,0.3958004713058516,1.1890167536430383
Oil,1,457,321.0,0.25077276168919876,0.5115023851394698,1.3125840367965722
Oil,1,457,321.1,0.24522449615834743,0.741652369499211,1.2054324092559838
Oil,1,457,321.20000000000005,0.25036711194540234,0.6810048818588301,1.100488537757876
Oil,1,457,321.3,0.25141190878704145,0.6718696355819747,1.3121139945678735
Oil,1,457,321.40000000000003,0.26653689622394056,0.6577845811843916,1.1658708991699243
Oil,1,457,321.5,0.2801477896191506,0.6635259389877364,1.178948396652224
Oil,1,457,321.6,0.2790898356806116,0.7600001096725508,1.0971911492042565
Oil,1,457,321.70000000000005,0.2457552616704768,0.6692572832107588,1.508089536636355
Oil,1,457,321.8,0.23307293038898036,0.519672274589543,1.5086241902999902
Oil,1,457,321.90000000000003,0.24551144421854967,0.7208536863327071,1.4435640515975976
Oil,1,457,322.0,0.2535282278233977,0.37737286090851274,1.2013242783241296
Oil,1,457,322.1,0.24693360304565032,0.3631461858749434,1.1375312151603723
Oil,1,457,322.20000000000005,0.24113477705071065,0.42495357990265337,1.2142035307579064
Oil,1,457,322.3,0.2502985305778114,0.5922113656997725,1.2397152127914453
Oil,1,457,322.40000000000003,0.2738056577540988,0.2602716684341475,1.0377740206413293
Oil,1,457,322.5,0.27393583078155265,0.26202094554901567,1.1044204177551293
Oil,1,457,322.6,0.26719257192476376,0.1006180047988936,0.9135544242553735
Oil,1,457,322.70000000000005,0.2640559611397446,0.55927693843842,0.42928046902942896
Oil,1,457,322.8,0.24879245414204573,0.5587533712387129,0.45037416538524866
Oil,1,457,322.90000000000003,0.2626074470029162,0.18062388896942583,0.8250653090171838
Oil,1,457,323.0,0.278406859003721,0.1740115880966231,1.0509431304626489
Oil,1,457,323.1,0.2678838129031446,0.24842441082001177,1.0221521200828576
Oil,1,457,323.20000000000005,0.25146334481273463,0.07075417041779009,1.2340037765197778
Oil,1,457,323.3,0.25916744178656986,0.19301855564117876,1.09028261324692
Oil,1,457,323.40000000000003,0.2669478910383526,0.11666572093964067,1.1986437382392907
Oil,1,457,323.5,0.2542534305581515,0.01130199432373491,1.5852106752090478
Oil,1,457,323.6,0.24314694944191823,0.05509364604950395,1.7255904617004418
Oil,1,457,323.70000000000005,0.24264915890389435,-0.09010601043700728,1.5032222213439965
Oil,1,457,323.8,0.26001512887027667,0.05645382404327837,1.3583481254272485
Oil,1,457,323.90000000000003,0.25997524642029873,0.36164391040802446,1.5120977105789208
Oil,1,457,324.0,0.2512766785004667,0.5544983148574874,1.5479711236648583
Oil,1,457,324.1,0.24824359762167897,0.4318870306015059,1.5526689233474755
Oil,1,457,324.20000000000005,0.2475717222452977,0.48610508441925493,1.7780191840820336
Oil,1,457,324.3,0.2722909469734926,0.5400382280349776,1.5071603002243066
Oil,1,457,324.40000000000003,0.2810557937689581,0.7515157461166426,1.4393130483322167
Oil,1,457,324.5,0.29175391149015933,0.7036865949630782,1.0397731008224511
