system,layer,z_center_A,relative_depth,tetrahedral_q_mean,tetrahedral_q_SEM_50x10ps,P2_mean,P2_SEM_50x10ps,translation_20_300cm-1_cross_to_self_mean,translation_cross_to_self_SEM_50x10ps
Oil,7,13.0,0.5416666666666666,0.8316476686407089,0.0025614161632408414,-0.05407141682582532,0.009400180824659606,0.25058823525282475,0.022282747625285836
Oil,8,15.0,0.625,0.8112138878633738,0.0014643560680882572,0.1560519415123376,0.0031019262999697583,0.23249837826041386,0.019836464193693535
Oil,9,17.0,0.7083333333333334,0.8477652623251175,0.0022535842627501614,-0.08207092508576486,0.006342431407492802,0.03555637561045596,0.015706829889936363
Oil,10,19.0,0.7916666666666666,0.8194175010601319,0.0008523003599263389,0.25563614109940025,0.0021705303876203602,0.15918660042530391,0.02231524047421763
Oil,11,21.0,0.875,0.838718405947954,0.0009485959788456111,0.015903979198871942,0.0025998947702535534,0.16426207803354834,0.017956242255578476
Oil,12,23.0,0.9583333333333334,0.8917628815872903,0.001657742896822099,0.05649443931674592,0.0016212469163672564,0.10859871597256887,0.018582187700733943
SiO2,1,1.0,0.023809523809523808,-0.7374723070715937,0.020317256564787816,0.8768330068039031,0.005258725648857172,-0.008894187953800562,0.010257922794874344
SiO2,2,3.0,0.07142857142857142,0.3744124126909154,0.015246597761977952,-0.02866417262304489,0.015018084812385816,0.009394948808705346,0.010814774253341953
SiO2,3,5.0,0.11904761904761904,0.6603141296858531,0.004257345453983024,-0.010902295888698437,0.013139340944272604,-0.02670650344063961,0.017384874537721508
SiO2,4,7.0,0.16666666666666666,0.7920251246161193,0.004439711537017534,-0.06489083143558745,0.009051422243668181,-0.09256441657170096,0.012851469389119326
SiO2,5,9.0,0.21428571428571427,0.8605308250476753,0.003150111294933503,0.214348178390251,0.009457086149302489,-0.06441178428738797,0.015503437195890373
SiO2,6,11.0,0.2619047619047619,0.8612351232984099,0.0020384175111845884,-0.009706435579337876,0.01179795242807914,-0.08069958621312104,0.01395132787091421
SiO2,7,13.0,0.30952380952380953,0.8758445814727682,0.0021717005207981363,-0.1595682499039904,0.010543097608448309,-0.0918304640464408,0.013734136512864183
SiO2,8,15.0,0.35714285714285715,0.871192795204731,0.003357581374426393,-0.03306729325339931,0.0035492967678354315,-0.031000206580924568,0.015429416422298826
SiO2,9,17.0,0.40476190476190477,0.8856692977863235,0.0024581612699690987,0.16329549668465565,0.012115840118963092,0.014145947374840519,0.021464305679701867
SiO2,10,19.0,0.4523809523809524,0.8596238482562706,0.0041887363334137265,0.05323220740342562,0.008272248105594321,-0.003603467380314672,0.01729795266000532
SiO2,11,21.0,0.5,0.8627168939703677,0.0045760408595077896,-0.1557092915235747,0.005632471704840926,0.013287533143209096,0.016237072493140787
SiO2,12,23.0,0.5476190476190477,0.8486238763003072,0.003636038047753087,-0.04791128237667799,0.01109447713057806,-0.06194052371297667,0.016040353820623764
SiO2,13,25.0,0.5952380952380952,0.8600858445259402,0.00242797428427605,-0.1467444200819032,0.00962088312970326,-0.07408823052032758,0.01487488232159994
SiO2,14,27.0,0.6428571428571429,0.8589184383826329,0.002801536460579294,0.02333790932620678,0.008364455235116645,-0.03737371698751271,0.015154139298913346
SiO2,15,29.0,0.6904761904761905,0.8325485334997752,0.0025932093247262047,0.03481280604804917,0.015612394828025154,-0.08003165265516418,0.015763444889317735
SiO2,16,31.0,0.7380952380952381,0.8681749717673045,0.002361801996817672,0.015275441814831843,0.007737935436258315,-0.07436294058389928,0.013174299756482771
SiO2,17,33.0,0.7857142857142857,0.8497110772198826,0.0026634326899211487,-0.17422406057124287,0.005137217287172539,-0.02394084215153517,0.016496683061013484
SiO2,18,35.0,0.8333333333333334,0.8743690666484492,0.003377346028055292,0.09684800028761079,0.014961716834077543,-0.09856877944504855,0.01417446944323309
SiO2,19,37.0,0.8809523809523809,0.8624469849702792,0.004087856803397346,-0.052592629467560915,0.008295937805810031,-0.10984778016695639,0.015531059268163255
SiO2,20,39.0,0.9285714285714286,0.6705251835530501,0.006886600219933261,0.09219151313924023,0.013927742352317161,-0.23497211903929036,0.015861277694261215
SiO2,21,41.0,0.9761904761904762,0.20040436218766924,0.013439637173340173,-0.20670479117667573,0.007472337042962846,0.01370482956966157,0.013386261014386856
