layer,depth_min_A,depth_max_A,n_waters,plotted_wavenumber_cm-1,calculated_wavenumber_cm-1,normalized_VDOS
1,0.0,4.0,26,1241.398358441609,1241.398358441609,0.04551062231201766
1,0.0,4.0,26,1241.907336858354,1241.907336858354,0.04556276511178749
1,0.0,4.0,26,1242.4163152750994,1242.4163152750994,0.0456688477422472
1,0.0,4.0,26,1242.9252936918444,1242.9252936918444,0.04581702524502609
1,0.0,4.0,26,1243.4342721085898,1243.4342721085898,0.045993467022256804
1,0.0,4.0,26,1243.943250525335,1243.943250525335,0.04618461909973068
1,0.0,4.0,26,1244.4522289420802,1244.4522289420802,0.046378967529877656
1,0.0,4.0,26,1244.9612073588255,1244.9612073588255,0.04656794729809802
1,0.0,4.0,26,1245.4701857755706,1245.4701857755706,0.046745951674163254
1,0.0,4.0,26,1245.979164192316,1245.979164192316,0.04690968532670004
1,0.0,4.0,26,1246.488142609061,1246.488142609061,0.04705727422901473
1,0.0,4.0,26,1246.9971210258063,1246.9971210258063,0.04718754742442158
1,0.0,4.0,26,1247.5060994425517,1247.5060994425517,0.0472997540793769
1,0.0,4.0,26,1248.0150778592968,1248.0150778592968,0.04739374298234387
1,0.0,4.0,26,1248.524056276042,1248.524056276042,0.04747040693464703
1,0.0,4.0,26,1249.0330346927872,1249.0330346927872,0.047532067860379904
1,0.0,4.0,26,1249.5420131095325,1249.5420131095325,0.04758249528890547
1,0.0,4.0,26,1250.0509915262778,1250.0509915262778,0.04762640051517711
1,0.0,4.0,26,1250.559969943023,1250.559969943023,0.047668471007157
1,0.0,4.0,26,1251.0689483597682,1251.0689483597682,0.047712218521920244
1,0.0,4.0,26,1251.5779267765133,1251.5779267765133,0.04775902971946846
1,0.0,4.0,26,1252.0869051932586,1252.0869051932586,0.04780778330071526
1,0.0,4.0,26,1252.5958836100037,1252.5958836100037,0.04785523524306288
1,0.0,4.0,26,1253.104862026749,1253.104862026749,0.047897123633489413
1,0.0,4.0,26,1253.6138404434944,1253.6138404434944,0.04792968837881272
1,0.0,4.0,26,1254.1228188602395,1254.1228188602395,0.04795112585581461
1,0.0,4.0,26,1254.6317972769848,1254.6317972769848,0.04796246958898511
1,0.0,4.0,26,1255.14077569373,1255.14077569373,0.047967526939607624
1,0.0,4.0,26,1255.6497541104752,1255.6497541104752,0.0479717770914816
1,0.0,4.0,26,1256.1587325272205,1256.1587325272205,0.04798046901772403
1,0.0,4.0,26,1256.6677109439656,1256.6677109439656,0.047996445948376855
1,0.0,4.0,26,1257.176689360711,1257.176689360711,0.04801836769115895
1,0.0,4.0,26,1257.685667777456,1257.685667777456,0.04803994526367415
1,0.0,4.0,26,1258.1946461942014,1258.1946461942014,0.04805054622930846
1,0.0,4.0,26,1258.7036246109465,1258.7036246109465,0.04803714152037034
1,0.0,4.0,26,1259.2126030276918,1259.2126030276918,0.04798715999604947
1,0.0,4.0,26,1259.721581444437,1259.721581444437,0.04789152176662316
1,0.0,4.0,26,1260.2305598611822,1260.2305598611822,0.04774703209663772
1,0.0,4.0,26,1260.7395382779275,1260.7395382779275,0.04755746885124502
1,0.0,4.0,26,1261.2485166946726,1261.2485166946726,0.04733304755386472
1,0.0,4.0,26,1261.757495111418,1261.757495111418,0.04708839633491219
1,0.0,4.0,26,1262.2664735281633,1262.2664735281633,0.04683958589398883
1,0.0,4.0,26,1262.7754519449084,1262.7754519449084,0.04660101657772689
1,0.0,4.0,26,1263.2844303616537,1263.2844303616537,0.04638299352635911
1,0.0,4.0,26,1263.7934087783988,1263.7934087783988,0.0461906170171724
1,0.0,4.0,26,1264.302387195144,1264.302387195144,0.046024239798227
1,0.0,4.0,26,1264.8113656118892,1264.8113656118892,0.04588130250671207
1,0.0,4.0,26,1265.3203440286345,1265.3203440286345,0.04575897207840845
1,0.0,4.0,26,1265.8293224453798,1265.8293224453798,0.04565677814742046
1,0.0,4.0,26,1266.338300862125,1266.338300862125,0.04557842818465654
1,0.0,4.0,26,1266.8472792788702,1266.8472792788702,0.045532188196568006
