layer_index,z_min_A,z_max_A,wavenumber_cm-1_shifted_plus80,VDOS_area_normalized_mean_unsmoothed,VDOS_SEM_50_blocks
4,16,20,1462.385380,4.959910888e-05,3.432097972e-06
4,16,20,1464.421294,4.977722449e-05,3.238935175e-06
4,16,20,1466.457207,5.027981597e-05,3.104236038e-06
4,16,20,1468.493121,5.149709732e-05,3.590402592e-06
4,16,20,1470.529035,5.491828125e-05,4.390357256e-06
4,16,20,1472.564948,5.943438076e-05,4.655003621e-06
4,16,20,1474.600862,6.310824709e-05,4.682681051e-06
4,16,20,1476.636776,6.523955494e-05,4.805694397e-06
4,16,20,1478.672689,6.405666953e-05,4.338249127e-06
4,16,20,1480.708603,6.131681044e-05,3.410131461e-06
4,16,20,1482.744517,6.193073726e-05,2.977199553e-06
4,16,20,1484.780430,6.355325709e-05,3.485546466e-06
4,16,20,1486.816344,6.13799058e-05,3.150456367e-06
4,16,20,1488.852258,5.879895099e-05,2.944677175e-06
4,16,20,1490.888171,6.131359611e-05,4.139106305e-06
4,16,20,1492.924085,6.540839304e-05,5.137822623e-06
4,16,20,1494.959999,6.460291707e-05,4.693685323e-06
4,16,20,1496.995912,6.181532656e-05,4.127836949e-06
4,16,20,1499.031826,6.245828198e-05,4.05394813e-06
4,16,20,1501.067740,6.537595804e-05,5.056832246e-06
4,16,20,1503.103653,6.930597115e-05,6.031136739e-06
4,16,20,1505.139567,7.616202736e-05,5.960866234e-06
4,16,20,1507.175481,8.430030825e-05,6.060654365e-06
4,16,20,1509.211394,8.860030718e-05,6.436835888e-06
4,16,20,1511.247308,8.80038294e-05,6.442282869e-06
4,16,20,1513.283222,8.357397678e-05,6.476863871e-06
4,16,20,1515.319135,7.734356705e-05,5.421227147e-06
4,16,20,1517.355049,7.369009885e-05,4.251557678e-06
4,16,20,1519.390963,7.314194616e-05,3.950461437e-06
4,16,20,1521.426876,7.46501806e-05,4.390598703e-06
4,16,20,1523.462790,7.948133165e-05,5.360234462e-06
4,16,20,1525.498704,8.537488984e-05,6.032211593e-06
4,16,20,1527.534617,8.989485284e-05,6.523108201e-06
4,16,20,1529.570531,9.44947353e-05,8.131334724e-06
4,16,20,1531.606445,9.820883447e-05,1.025519566e-05
4,16,20,1533.642358,9.619045988e-05,8.480866078e-06
4,16,20,1535.678272,8.790730515e-05,7.315079915e-06
4,16,20,1537.714186,8.229431418e-05,6.734399342e-06
4,16,20,1539.750099,8.344726686e-05,6.394993224e-06
4,16,20,1541.786013,8.456127031e-05,6.433502434e-06
4,16,20,1543.821927,8.163275025e-05,6.385836361e-06
4,16,20,1545.857840,8.333848089e-05,8.758759547e-06
4,16,20,1547.893754,9.84943201e-05,1.54788471e-05
4,16,20,1549.929668,0.0001143430638,2.199206009e-05
4,16,20,1551.965581,0.0001170838019,2.249520249e-05
4,16,20,1554.001495,0.0001153025001,1.921810248e-05
4,16,20,1556.037409,0.0001127192156,1.595774388e-05
4,16,20,1558.073322,0.0001085584403,1.584029259e-05
4,16,20,1560.109236,0.0001152469203,2.10106337e-05
4,16,20,1562.145150,0.0001282496331,2.798753293e-05
4,16,20,1564.181063,0.0001209568422,2.591779914e-05
4,16,20,1566.216977,9.820765319e-05,1.498372696e-05
4,16,20,1568.252891,9.3596242e-05,1.000333184e-05
4,16,20,1570.288804,0.0001080905912,1.406919128e-05
4,16,20,1572.324718,0.0001159052772,1.551545899e-05
4,16,20,1574.360632,0.0001153704244,1.513056138e-05
4,16,20,1576.396545,0.0001229425869,2.468674951e-05
4,16,20,1578.432459,0.0001311649052,3.324743104e-05
4,16,20,1580.468373,0.0001303053387,3.607270565e-05
4,16,20,1582.504286,0.0001352035628,4.243857429e-05
4,16,20,1584.540200,0.0001490112239,4.908262554e-05
