system,group,O_serial_1based,time_ps,hbond_degree,fourfold_indicator
CaF2,1,210,24.299999999999997,4.0,1.0
CaF2,1,210,24.4,4.0,1.0
CaF2,1,210,24.5,4.0,1.0
CaF2,1,210,24.599999999999998,4.0,1.0
CaF2,1,210,24.7,4.0,1.0
CaF2,1,210,24.799999999999997,4.0,1.0
CaF2,1,210,24.9,4.0,1.0
CaF2,1,210,25.0,4.0,1.0
CaF2,1,210,25.099999999999998,4.0,1.0
CaF2,1,210,25.2,4.0,1.0
CaF2,1,210,25.299999999999997,4.0,1.0
CaF2,1,210,25.4,4.0,1.0
CaF2,1,210,25.5,4.0,1.0
CaF2,1,210,25.599999999999998,4.0,1.0
CaF2,1,210,25.7,4.0,1.0
CaF2,1,210,25.799999999999997,3.0,0.0
CaF2,1,210,25.9,4.0,1.0
CaF2,1,210,26.0,4.0,1.0
CaF2,1,210,26.099999999999998,4.0,1.0
CaF2,1,210,26.2,4.0,1.0
CaF2,1,210,26.299999999999997,4.0,1.0
CaF2,1,210,26.4,4.0,1.0
CaF2,1,210,26.5,4.0,1.0
CaF2,1,210,26.599999999999998,4.0,1.0
CaF2,1,210,26.7,4.0,1.0
CaF2,1,210,26.799999999999997,4.0,1.0
CaF2,1,210,26.9,4.0,1.0
CaF2,1,210,27.0,4.0,1.0
CaF2,1,210,27.099999999999998,4.0,1.0
CaF2,1,210,27.2,4.0,1.0
CaF2,1,210,27.299999999999997,3.0,0.0
CaF2,1,210,27.4,4.0,1.0
CaF2,1,210,27.5,3.0,0.0
CaF2,1,210,27.599999999999998,4.0,1.0
CaF2,1,210,27.7,3.0,0.0
CaF2,1,210,27.799999999999997,4.0,1.0
CaF2,1,210,27.9,4.0,1.0
CaF2,1,210,28.0,4.0,1.0
CaF2,1,210,28.099999999999998,4.0,1.0
CaF2,1,210,28.2,4.0,1.0
CaF2,1,210,28.299999999999997,4.0,1.0
CaF2,1,210,28.4,4.0,1.0
CaF2,1,210,28.5,4.0,1.0
CaF2,1,210,28.599999999999998,4.0,1.0
CaF2,1,210,28.7,3.0,0.0
CaF2,1,210,28.799999999999997,4.0,1.0
CaF2,1,210,28.9,4.0,1.0
CaF2,1,210,29.0,4.0,1.0
CaF2,1,210,29.099999999999998,4.0,1.0
CaF2,1,210,29.2,4.0,1.0
CaF2,1,210,29.299999999999997,3.0,0.0
CaF2,1,210,29.4,4.0,1.0
CaF2,1,210,29.5,4.0,1.0
CaF2,1,210,29.599999999999998,4.0,1.0
CaF2,1,210,29.7,4.0,1.0
CaF2,1,210,29.799999999999997,4.0,1.0
CaF2,1,210,29.9,3.0,0.0
CaF2,1,210,30.0,4.0,1.0
CaF2,1,210,30.099999999999998,4.0,1.0
CaF2,1,210,30.2,4.0,1.0
CaF2,1,210,30.299999999999997,4.0,1.0
CaF2,1,210,30.4,4.0,1.0
CaF2,1,210,30.5,4.0,1.0
CaF2,1,210,30.599999999999998,4.0,1.0
CaF2,1,210,30.7,4.0,1.0
CaF2,1,210,30.799999999999997,4.0,1.0
CaF2,1,210,30.9,4.0,1.0
CaF2,1,210,31.0,4.0,1.0
CaF2,1,210,31.099999999999998,3.0,0.0
CaF2,1,210,31.2,4.0,1.0
CaF2,1,210,31.299999999999997,4.0,1.0
CaF2,1,210,31.4,4.0,1.0
CaF2,1,210,31.5,4.0,1.0
CaF2,1,210,31.599999999999998,4.0,1.0
CaF2,1,210,31.7,4.0,1.0
CaF2,1,210,31.799999999999997,4.0,1.0
CaF2,1,210,31.9,4.0,1.0
CaF2,1,210,31.999999999999996,4.0,1.0
CaF2,1,210,32.1,4.0,1.0
CaF2,1,210,32.2,4.0,1.0
CaF2,1,210,32.300000000000004,4.0,1.0
CaF2,1,210,32.400000000000006,4.0,1.0
CaF2,1,210,32.5,3.0,0.0
CaF2,1,210,32.6,4.0,1.0
CaF2,1,210,32.7,4.0,1.0
CaF2,1,210,32.800000000000004,3.0,0.0
CaF2,1,210,32.900000000000006,4.0,1.0
CaF2,1,210,33.0,4.0,1.0
CaF2,1,210,33.1,4.0,1.0
CaF2,1,210,33.2,3.0,0.0
CaF2,1,210,33.300000000000004,4.0,1.0
CaF2,1,210,33.400000000000006,4.0,1.0
CaF2,1,210,33.5,4.0,1.0
CaF2,1,210,33.6,4.0,1.0
CaF2,1,210,33.7,3.0,0.0
CaF2,1,210,33.800000000000004,4.0,1.0
CaF2,1,210,33.900000000000006,4.0,1.0
CaF2,1,210,34.0,4.0,1.0
CaF2,1,210,34.1,3.0,0.0
CaF2,1,210,34.2,4.0,1.0
CaF2,1,210,34.300000000000004,4.0,1.0
CaF2,1,210,34.400000000000006,4.0,1.0
CaF2,1,210,34.5,4.0,1.0
CaF2,1,210,34.6,4.0,1.0
CaF2,1,210,34.7,4.0,1.0
CaF2,1,210,34.800000000000004,4.0,1.0
CaF2,1,210,34.900000000000006,4.0,1.0
CaF2,1,210,35.0,4.0,1.0
CaF2,1,210,35.1,4.0,1.0
CaF2,1,210,35.2,4.0,1.0
CaF2,1,210,35.300000000000004,4.0,1.0
CaF2,1,210,35.400000000000006,4.0,1.0
CaF2,1,210,35.5,4.0,1.0
CaF2,1,210,35.6,4.0,1.0
CaF2,1,210,35.7,4.0,1.0
CaF2,1,210,35.800000000000004,4.0,1.0
CaF2,1,210,35.900000000000006,3.0,0.0
CaF2,1,210,36.0,4.0,1.0
CaF2,1,210,36.1,3.0,0.0
CaF2,1,210,36.2,3.0,0.0
CaF2,1,210,36.300000000000004,4.0,1.0
CaF2,1,210,36.400000000000006,4.0,1.0
CaF2,1,210,36.5,4.0,1.0
CaF2,1,210,36.6,3.0,0.0
CaF2,1,210,36.7,4.0,1.0
CaF2,1,210,36.800000000000004,4.0,1.0
CaF2,1,210,36.900000000000006,4.0,1.0
CaF2,1,210,37.0,4.0,1.0
CaF2,1,210,37.1,3.0,0.0
CaF2,1,210,37.2,4.0,1.0
CaF2,1,210,37.300000000000004,4.0,1.0
CaF2,1,210,37.400000000000006,4.0,1.0
CaF2,1,210,37.5,4.0,1.0
CaF2,1,210,37.6,4.0,1.0
CaF2,1,210,37.7,4.0,1.0
CaF2,1,210,37.800000000000004,4.0,1.0
CaF2,1,210,37.900000000000006,4.0,1.0
CaF2,1,210,38.0,4.0,1.0
CaF2,1,210,38.1,4.0,1.0
CaF2,1,210,38.2,4.0,1.0
CaF2,1,210,38.300000000000004,4.0,1.0
CaF2,1,210,38.400000000000006,4.0,1.0
CaF2,1,210,38.5,4.0,1.0
CaF2,1,210,38.6,4.0,1.0
CaF2,1,210,38.7,4.0,1.0
CaF2,1,210,38.800000000000004,4.0,1.0
CaF2,1,210,38.900000000000006,4.0,1.0
CaF2,1,210,39.0,4.0,1.0
CaF2,1,210,39.1,4.0,1.0
CaF2,1,210,39.2,4.0,1.0
CaF2,1,210,39.300000000000004,3.0,0.0
CaF2,1,210,39.400000000000006,4.0,1.0
CaF2,1,210,39.5,4.0,1.0
CaF2,1,210,39.6,4.0,1.0
CaF2,1,210,39.7,4.0,1.0
CaF2,1,210,39.800000000000004,4.0,1.0
CaF2,1,210,39.900000000000006,4.0,1.0
CaF2,1,210,40.0,4.0,1.0
CaF2,1,210,40.1,4.0,1.0
CaF2,1,210,40.2,4.0,1.0
CaF2,1,210,40.300000000000004,4.0,1.0
CaF2,1,210,40.400000000000006,3.0,0.0
CaF2,1,210,40.5,4.0,1.0
CaF2,1,210,40.6,4.0,1.0
CaF2,1,210,40.7,4.0,1.0
CaF2,1,210,40.800000000000004,4.0,1.0
CaF2,1,210,40.900000000000006,4.0,1.0
CaF2,1,210,41.0,4.0,1.0
CaF2,1,210,41.1,4.0,1.0
CaF2,1,210,41.2,4.0,1.0
CaF2,1,210,41.300000000000004,4.0,1.0
CaF2,1,210,41.400000000000006,4.0,1.0
CaF2,1,210,41.5,4.0,1.0
CaF2,1,210,41.6,3.0,0.0
CaF2,1,210,41.7,4.0,1.0
CaF2,1,210,41.800000000000004,4.0,1.0
CaF2,1,210,41.900000000000006,4.0,1.0
CaF2,1,210,42.0,4.0,1.0
CaF2,1,210,42.1,4.0,1.0
CaF2,1,210,42.2,4.0,1.0
CaF2,1,210,42.300000000000004,4.0,1.0
CaF2,1,210,42.400000000000006,4.0,1.0
CaF2,1,210,42.5,4.0,1.0
CaF2,1,210,42.6,4.0,1.0
CaF2,1,210,42.7,4.0,1.0
CaF2,1,210,42.800000000000004,4.0,1.0
CaF2,1,210,42.900000000000006,4.0,1.0
CaF2,1,210,43.0,4.0,1.0
CaF2,1,210,43.1,4.0,1.0
CaF2,1,210,43.2,4.0,1.0
CaF2,1,210,43.300000000000004,4.0,1.0
CaF2,1,210,43.400000000000006,4.0,1.0
CaF2,1,210,43.5,4.0,1.0
CaF2,1,210,43.6,4.0,1.0
CaF2,1,210,43.7,3.0,0.0
CaF2,1,210,43.800000000000004,3.0,0.0
CaF2,1,210,43.900000000000006,4.0,1.0
CaF2,1,210,44.0,4.0,1.0
CaF2,1,210,44.1,3.0,0.0
CaF2,1,210,44.2,4.0,1.0
CaF2,1,210,44.300000000000004,4.0,1.0
CaF2,1,210,44.400000000000006,4.0,1.0
CaF2,1,210,44.5,4.0,1.0
CaF2,1,210,44.6,4.0,1.0
CaF2,1,210,44.7,3.0,0.0
CaF2,1,210,44.800000000000004,4.0,1.0
CaF2,1,210,44.900000000000006,4.0,1.0
CaF2,1,210,45.0,4.0,1.0
CaF2,1,210,45.1,4.0,1.0
CaF2,1,210,45.2,4.0,1.0
CaF2,1,210,45.300000000000004,4.0,1.0
CaF2,1,210,45.400000000000006,4.0,1.0
CaF2,1,210,45.5,4.0,1.0
CaF2,1,210,45.6,4.0,1.0
CaF2,1,210,45.7,3.0,0.0
CaF2,1,210,45.800000000000004,3.0,0.0
CaF2,1,210,45.900000000000006,4.0,1.0
CaF2,1,210,46.0,4.0,1.0
CaF2,1,210,46.1,4.0,1.0
CaF2,1,210,46.2,4.0,1.0
CaF2,1,210,46.300000000000004,4.0,1.0
CaF2,1,210,46.400000000000006,4.0,1.0
CaF2,1,210,46.5,4.0,1.0
CaF2,1,210,46.6,4.0,1.0
CaF2,1,210,46.7,4.0,1.0
CaF2,1,210,46.800000000000004,4.0,1.0
CaF2,1,210,46.900000000000006,4.0,1.0
CaF2,1,210,47.0,4.0,1.0
CaF2,1,210,47.1,4.0,1.0
CaF2,1,210,47.2,4.0,1.0
CaF2,1,210,47.300000000000004,4.0,1.0
CaF2,1,210,47.400000000000006,4.0,1.0
CaF2,1,210,47.5,4.0,1.0
CaF2,1,210,47.6,4.0,1.0
CaF2,1,210,47.7,4.0,1.0
CaF2,1,210,47.800000000000004,4.0,1.0
CaF2,1,210,47.900000000000006,4.0,1.0
CaF2,1,210,48.0,4.0,1.0
CaF2,1,210,48.1,4.0,1.0
CaF2,1,210,48.2,4.0,1.0
CaF2,1,210,48.300000000000004,3.0,0.0
CaF2,1,210,48.400000000000006,4.0,1.0
CaF2,1,210,48.5,4.0,1.0
CaF2,1,210,48.6,4.0,1.0
CaF2,1,210,48.7,4.0,1.0
CaF2,1,210,48.800000000000004,4.0,1.0
CaF2,1,210,48.900000000000006,4.0,1.0
CaF2,1,210,49.0,4.0,1.0
CaF2,1,210,49.1,4.0,1.0
CaF2,1,210,49.2,4.0,1.0
CaF2,1,210,49.300000000000004,4.0,1.0
CaF2,1,210,49.400000000000006,4.0,1.0
CaF2,1,210,49.5,4.0,1.0
CaF2,1,210,49.6,4.0,1.0
CaF2,1,210,49.7,4.0,1.0
CaF2,1,210,49.800000000000004,4.0,1.0
CaF2,1,210,49.900000000000006,4.0,1.0
CaF2,1,210,50.0,4.0,1.0
CaF2,1,210,50.1,4.0,1.0
CaF2,1,210,50.2,4.0,1.0
CaF2,1,210,50.300000000000004,4.0,1.0
CaF2,1,210,50.400000000000006,4.0,1.0
CaF2,1,210,50.5,3.0,0.0
CaF2,1,210,50.6,4.0,1.0
CaF2,1,210,50.7,4.0,1.0
CaF2,1,210,50.800000000000004,4.0,1.0
CaF2,1,210,50.900000000000006,3.0,0.0
CaF2,1,210,51.0,4.0,1.0
CaF2,1,210,51.1,4.0,1.0
CaF2,1,210,51.2,3.0,0.0
CaF2,1,210,51.300000000000004,4.0,1.0
CaF2,1,210,51.400000000000006,4.0,1.0
CaF2,1,210,51.5,4.0,1.0
CaF2,1,210,51.6,4.0,1.0
CaF2,1,210,51.7,4.0,1.0
CaF2,1,210,51.800000000000004,4.0,1.0
CaF2,1,210,51.900000000000006,3.0,0.0
CaF2,1,210,52.0,4.0,1.0
CaF2,1,210,52.1,4.0,1.0
CaF2,1,210,52.2,4.0,1.0
CaF2,1,210,52.300000000000004,4.0,1.0
CaF2,1,210,52.400000000000006,4.0,1.0
CaF2,1,210,52.5,4.0,1.0
CaF2,1,210,52.6,4.0,1.0
CaF2,1,210,52.7,4.0,1.0
CaF2,1,210,52.800000000000004,4.0,1.0
CaF2,1,210,52.900000000000006,4.0,1.0
CaF2,1,210,53.0,4.0,1.0
CaF2,1,210,53.1,4.0,1.0
CaF2,1,210,53.2,4.0,1.0
CaF2,1,210,53.300000000000004,4.0,1.0
CaF2,1,210,53.400000000000006,4.0,1.0
CaF2,1,210,53.5,4.0,1.0
CaF2,1,210,53.6,4.0,1.0
CaF2,1,210,53.7,4.0,1.0
CaF2,1,210,53.800000000000004,4.0,1.0
CaF2,1,210,53.900000000000006,4.0,1.0
CaF2,1,210,54.0,4.0,1.0
CaF2,1,210,54.1,4.0,1.0
CaF2,1,210,54.2,4.0,1.0
CaF2,1,210,54.300000000000004,4.0,1.0
CaF2,1,210,54.400000000000006,4.0,1.0
CaF2,1,210,54.5,4.0,1.0
CaF2,1,210,54.6,4.0,1.0
CaF2,1,210,54.7,4.0,1.0
CaF2,1,210,54.800000000000004,4.0,1.0
CaF2,1,210,54.900000000000006,3.0,0.0
CaF2,1,210,55.0,3.0,0.0
CaF2,1,210,55.1,3.0,0.0
CaF2,1,210,55.2,4.0,1.0
CaF2,1,210,55.300000000000004,4.0,1.0
CaF2,1,210,55.400000000000006,3.0,0.0
CaF2,1,210,55.5,4.0,1.0
CaF2,1,210,55.6,4.0,1.0
CaF2,1,210,55.7,3.0,0.0
CaF2,1,210,55.800000000000004,4.0,1.0
CaF2,1,210,55.900000000000006,4.0,1.0
CaF2,1,210,56.0,4.0,1.0
CaF2,1,210,56.1,3.0,0.0
CaF2,1,210,56.2,4.0,1.0
CaF2,1,210,56.300000000000004,4.0,1.0
CaF2,1,210,56.400000000000006,3.0,0.0
CaF2,1,210,56.5,3.0,0.0
CaF2,1,210,56.6,3.0,0.0
CaF2,1,210,56.7,4.0,1.0
CaF2,1,210,56.800000000000004,2.0,0.0
CaF2,1,210,56.900000000000006,4.0,1.0
CaF2,1,210,57.0,4.0,1.0
CaF2,1,210,57.1,4.0,1.0
CaF2,1,210,57.2,3.0,0.0
CaF2,1,210,57.300000000000004,4.0,1.0
CaF2,1,210,57.400000000000006,4.0,1.0
CaF2,1,210,57.5,4.0,1.0
CaF2,1,210,57.6,4.0,1.0
CaF2,1,210,57.7,4.0,1.0
CaF2,1,210,57.800000000000004,4.0,1.0
CaF2,1,210,57.900000000000006,4.0,1.0
CaF2,1,210,58.0,4.0,1.0
CaF2,1,210,58.1,4.0,1.0
CaF2,1,210,58.2,4.0,1.0
CaF2,1,210,58.300000000000004,4.0,1.0
CaF2,1,210,58.400000000000006,4.0,1.0
CaF2,1,210,58.5,4.0,1.0
CaF2,1,210,58.6,4.0,1.0
CaF2,1,210,58.7,4.0,1.0
CaF2,1,210,58.800000000000004,4.0,1.0
CaF2,1,210,58.900000000000006,4.0,1.0
CaF2,1,210,59.0,4.0,1.0
CaF2,1,210,59.1,4.0,1.0
CaF2,1,210,59.2,4.0,1.0
CaF2,1,210,59.300000000000004,4.0,1.0
CaF2,1,210,59.400000000000006,4.0,1.0
CaF2,1,210,59.5,4.0,1.0
CaF2,1,210,59.6,4.0,1.0
CaF2,1,210,59.7,4.0,1.0
CaF2,1,210,59.800000000000004,4.0,1.0
CaF2,1,210,59.900000000000006,4.0,1.0
CaF2,1,210,60.0,4.0,1.0
CaF2,1,210,60.1,4.0,1.0
CaF2,1,210,60.2,4.0,1.0
CaF2,1,210,60.300000000000004,4.0,1.0
CaF2,1,210,60.400000000000006,4.0,1.0
CaF2,1,210,60.5,4.0,1.0
CaF2,1,210,60.6,4.0,1.0
CaF2,1,210,60.7,4.0,1.0
CaF2,1,210,60.800000000000004,4.0,1.0
CaF2,1,210,60.900000000000006,4.0,1.0
CaF2,1,210,61.0,4.0,1.0
CaF2,1,210,61.1,4.0,1.0
CaF2,1,210,61.2,4.0,1.0
CaF2,1,210,61.300000000000004,4.0,1.0
CaF2,1,210,61.400000000000006,4.0,1.0
