system,group,O_serial_1based,time_ps,relative_depth,dipole_angle_to_z_degree,hbond_degree,fourfold_indicator
CaF2,2,458,238.7,0.4624650011536321,61.595435926512664,4.0,1.0
CaF2,2,458,238.8,0.44210694288849095,38.38534912289724,4.0,1.0
CaF2,2,458,238.9,0.44890159665504525,45.777754860828345,4.0,1.0
CaF2,2,458,239.0,0.45115211807978095,54.513778859027525,4.0,1.0
CaF2,2,458,239.1,0.4472072092698992,50.63020699047835,4.0,1.0
CaF2,2,458,239.2,0.4508632375709715,59.42697675201518,4.0,1.0
CaF2,2,458,239.3,0.45014757373147013,49.43813480769907,4.0,1.0
CaF2,2,458,239.4,0.44497395653484473,45.408228091361565,4.0,1.0
CaF2,2,458,239.5,0.4473150152326231,43.1132789040735,4.0,1.0
CaF2,2,458,239.6,0.45679133204295314,53.08602534799265,4.0,1.0
CaF2,2,458,239.7,0.4396236230804819,54.50865307884569,4.0,1.0
CaF2,2,458,239.8,0.44417203147879303,42.558937517913854,4.0,1.0
CaF2,2,458,239.9,0.46233137438824207,55.95272116391781,4.0,1.0
CaF2,2,458,240.0,0.46224511317169176,51.08208119665838,4.0,1.0
CaF2,2,458,240.1,0.4574078242645712,54.173045261774284,4.0,1.0
CaF2,2,458,240.2,0.44719002281207365,61.12920143543502,4.0,1.0
CaF2,2,458,240.3,0.4458621428074466,53.628828648713906,4.0,1.0
CaF2,2,458,240.4,0.4475564479607371,47.77721423003917,4.0,1.0
CaF2,2,458,240.5,0.4583002865936657,61.263180130461315,4.0,1.0
CaF2,2,458,240.6,0.4564636380982889,48.54669560974315,4.0,1.0
CaF2,2,458,240.7,0.44600867997416976,52.00135230589358,4.0,1.0
CaF2,2,458,240.8,0.4404040033903599,45.427353647571856,4.0,1.0
CaF2,2,458,240.9,0.46352990368397146,67.94393898796105,4.0,1.0
CaF2,2,458,241.0,0.46183987458717346,68.47662596207117,4.0,1.0
CaF2,2,458,241.1,0.45882624154224094,57.288792369756756,4.0,1.0
CaF2,2,458,241.2,0.4451550310809302,33.195990332768034,3.0,0.0
CaF2,2,458,241.3,0.44259416663306705,35.98667227115272,4.0,1.0
CaF2,2,458,241.4,0.4456378965371582,54.69709411426719,4.0,1.0
CaF2,2,458,241.5,0.4690182221920724,46.040352115517855,2.0,0.0
CaF2,2,458,241.6,0.4607836064016747,56.770514317448765,4.0,1.0
CaF2,2,458,241.7,0.4454008220973923,48.963592073078594,4.0,1.0
CaF2,2,458,241.8,0.45034583473538115,51.170032166731936,4.0,1.0
CaF2,2,458,241.9,0.4666728052059459,59.27692840950445,4.0,1.0
CaF2,2,458,242.0,0.46134837478610485,47.89962975370695,4.0,1.0
CaF2,2,458,242.1,0.47348036937383325,62.067354624175344,4.0,1.0
CaF2,2,458,242.2,0.4639610453030115,41.6962963285746,4.0,1.0
CaF2,2,458,242.3,0.4582312940667966,49.157617174690905,4.0,1.0
CaF2,2,458,242.4,0.45639036951492734,50.60607172221085,4.0,1.0
CaF2,2,458,242.5,0.4660218578368211,48.337038956559816,4.0,1.0
CaF2,2,458,242.6,0.46167171044242106,60.90429555614426,4.0,1.0
CaF2,2,458,242.7,0.44651744846491953,54.51582620881577,4.0,1.0
CaF2,2,458,242.8,0.4631289411559456,57.73030166103043,4.0,1.0
CaF2,2,458,242.9,0.47500231655773445,55.75606778219413,4.0,1.0
CaF2,2,458,243.0,0.4627495233740934,53.21129556052081,4.0,1.0
CaF2,2,458,243.1,0.43052244799551154,25.597961310995426,4.0,1.0
CaF2,2,458,243.2,0.4411369359195425,45.51799411511353,4.0,1.0
CaF2,2,458,243.3,0.46297804570087436,69.01707344311527,4.0,1.0
CaF2,2,458,243.4,0.45121247626180944,51.859488500136074,4.0,1.0
CaF2,2,458,243.5,0.44535765037318936,54.25827098197463,4.0,1.0
CaF2,2,458,243.6,0.44568106826136117,55.82015657721645,4.0,1.0
CaF2,2,458,243.7,0.4483712834181219,43.475987130406615,4.0,1.0
CaF2,2,458,243.8,0.4538897810172371,53.11077109358468,4.0,1.0
CaF2,2,458,243.9,0.4390286756050375,49.76001821875958,4.0,1.0
CaF2,2,458,244.0,0.4364849976149999,48.71884848582352,4.0,1.0
CaF2,2,458,244.1,0.44340036774561126,48.817133675393414,4.0,1.0
CaF2,2,458,244.2,0.44267606956126926,49.773372927222105,4.0,1.0
CaF2,2,458,244.3,0.4421500323808383,58.05798928668735,4.0,1.0
CaF2,2,458,244.4,0.4392657500448034,41.11817064930477,4.0,1.0
CaF2,2,458,244.5,0.4452801057333353,40.33029851678375,4.0,1.0
CaF2,2,458,244.6,0.45480378809250516,55.720029435303815,4.0,1.0
CaF2,2,458,244.7,0.4456939786626942,52.852445969692425,4.0,1.0
CaF2,2,458,244.8,0.44687096321224995,45.83456410204191,4.0,1.0
CaF2,2,458,244.9,0.4577096151747137,55.10882153152422,4.0,1.0
CaF2,2,458,245.0,0.4559160561716843,55.33903367603313,4.0,1.0
CaF2,2,458,245.1,0.4483066491796009,57.43044347186663,4.0,1.0
CaF2,2,458,245.2,0.44867307432826437,40.237547590593266,4.0,1.0
CaF2,2,458,245.3,0.4556186235498899,41.606248919338256,4.0,1.0
CaF2,2,458,245.4,0.46514230590905975,52.687936939367916,4.0,1.0
CaF2,2,458,245.5,0.46927684137801196,55.40651415819812,4.0,1.0
CaF2,2,458,245.6,0.4607404346774718,67.50987418659547,4.0,1.0
CaF2,2,458,245.7,0.4554375490038044,49.40514754046068,4.0,1.0
CaF2,2,458,245.8,0.4598436962918849,53.16074399278018,4.0,1.0
CaF2,2,458,245.9,0.46806967773744196,67.04726406819145,4.0,1.0
CaF2,2,458,246.0,0.46273661297276036,50.80191230301775,4.0,1.0
CaF2,2,458,246.1,0.4573732868852089,49.49397560038197,4.0,1.0
CaF2,2,458,246.2,0.4525015428305816,55.4627257533898,4.0,1.0
CaF2,2,458,246.3,0.45679560809944564,63.514940607917694,4.0,1.0
CaF2,2,458,246.4,0.4470649481596685,45.338606680525224,4.0,1.0
CaF2,2,458,246.5,0.45518320587435734,43.46162163332017,4.0,1.0
CaF2,2,458,246.6,0.45884351023192216,54.32643353120691,4.0,1.0
CaF2,2,458,246.7,0.44988023796883436,54.620935428042664,4.0,1.0
CaF2,2,458,246.8,0.4411369359195425,53.32978454334188,4.0,1.0
CaF2,2,458,246.9,0.4365065423611736,42.78614297272833,4.0,1.0
CaF2,2,458,247.0,0.4447454342080638,53.691203769900056,4.0,1.0
CaF2,2,458,247.1,0.45700686173654537,68.25969607530303,4.0,1.0
CaF2,2,458,247.2,0.4407187047018355,58.315927390012156,4.0,1.0
CaF2,2,458,247.3,0.43610993812149584,52.92622302278703,4.0,1.0
CaF2,2,458,247.4,0.4450515834065544,50.17973074261814,4.0,1.0
CaF2,2,458,247.5,0.4640170451966919,39.66955211158785,4.0,1.0
CaF2,2,458,247.6,0.4544890867810296,46.45721726151218,4.0,1.0
CaF2,2,458,247.7,0.44649590371874587,48.32466786434753,4.0,1.0
CaF2,2,458,247.8,0.46117593458485995,61.52119594162745,4.0,1.0
CaF2,2,458,247.9,0.46052918104037205,64.80248066558902,4.0,1.0
CaF2,2,458,248.0,0.45799849568352313,48.03666074153834,4.0,1.0
CaF2,2,458,248.1,0.46075770336715294,53.3751672595314,4.0,1.0
CaF2,2,458,248.2,0.47086778108878224,65.46190923786287,3.0,0.0
CaF2,2,458,248.3,0.4504709093877863,38.299778189524176,4.0,1.0
CaF2,2,458,248.4,0.43615302761384317,52.339507873294416,4.0,1.0
CaF2,2,458,248.5,0.4589857713421528,44.78601169707852,4.0,1.0
CaF2,2,458,248.6,0.46737555864411423,54.24531119153646,4.0,1.0
CaF2,2,458,248.7,0.4636894334838833,36.17123749947228,4.0,1.0
CaF2,2,458,248.8,0.4730966755354886,52.2724247098652,4.0,1.0
CaF2,2,458,248.9,0.48011549334047576,70.01334954042237,4.0,1.0
CaF2,2,458,249.0,0.47530410746787694,59.52383348460018,4.0,1.0
CaF2,2,458,249.1,0.4607534273106605,44.407511027499936,4.0,1.0
CaF2,2,458,249.2,0.473855511099193,41.54568520268954,4.0,1.0
CaF2,2,458,249.3,0.46828528966288985,42.23742585193268,4.0,1.0
CaF2,2,458,249.4,0.45566171304223724,56.410106887051725,4.0,1.0
CaF2,2,458,249.5,0.4557393399139469,47.88669195635099,4.0,1.0
CaF2,2,458,249.6,0.4576147196133229,41.689447197816115,4.0,1.0
CaF2,2,458,249.7,0.455566899712702,55.79178794748429,4.0,1.0
CaF2,2,458,249.8,0.46045591245701045,48.530569982866595,4.0,1.0
CaF2,2,458,249.9,0.47324329493406736,60.966834569341096,4.0,1.0
CaF2,2,458,250.0,0.45973589032916096,43.91813675831997,4.0,1.0
CaF2,2,458,250.1,0.4507942450441024,38.524686577571245,4.0,1.0
CaF2,2,458,250.2,0.4683628343027439,47.597856925293726,4.0,1.0
CaF2,2,458,250.3,0.4616372552949143,78.23136880374332,4.0,1.0
CaF2,2,458,250.4,0.44183533106936274,49.47314117777898,4.0,1.0
CaF2,2,458,250.5,0.45200576697302053,35.53938058079706,4.0,1.0
CaF2,2,458,250.6,0.4637756124685779,52.49765223289602,4.0,1.0
CaF2,2,458,250.7,0.45527801920389255,64.55631088132213,4.0,1.0
CaF2,2,458,250.8,0.434381095588843,48.81658222941593,4.0,1.0
CaF2,2,458,250.9,0.4517728863578915,60.26096757743804,4.0,1.0
CaF2,2,458,251.0,0.4591064877062098,57.82174921569933,4.0,1.0
CaF2,2,458,251.1,0.4550106834412568,41.02217547994393,4.0,1.0
CaF2,2,458,251.2,0.4457629711895633,40.44647820985614,4.0,1.0
CaF2,2,458,251.3,0.44894041009090013,53.88028106494018,4.0,1.0
CaF2,2,458,251.4,0.45343281859553086,50.42472382796447,4.0,1.0
CaF2,2,458,251.5,0.45852445063209846,54.22018197936301,4.0,1.0
CaF2,2,458,251.6,0.4590547638690219,65.34276014283358,4.0,1.0
CaF2,2,458,251.7,0.4378775118581479,47.89666743084635,3.0,0.0
CaF2,2,458,251.8,0.43509240113999637,55.50602811449664,4.0,1.0
CaF2,2,458,251.9,0.4527516099035362,62.05455653588572,4.0,1.0
CaF2,2,458,252.0,0.45022084231483167,57.30495187414534,4.0,1.0
CaF2,2,458,252.1,0.4309578656710441,58.71521667656365,4.0,1.0
CaF2,2,458,252.2,0.44535765037318936,60.501852753566645,4.0,1.0
CaF2,2,458,252.3,0.46634946954962975,70.97345752095781,4.0,1.0
CaF2,2,458,252.4,0.44837564170647,42.76117601299525,4.0,1.0
CaF2,2,458,252.5,0.4470391273570024,31.964958626206418,4.0,1.0
CaF2,2,458,252.6,0.4504967301904524,52.023775508829246,4.0,1.0
CaF2,2,458,252.7,0.4582053910322748,63.639680422455044,3.0,0.0
CaF2,2,458,252.8,0.4657804251087071,41.28265112531749,4.0,1.0
CaF2,2,458,252.9,0.4516004461566466,47.25193613737676,4.0,1.0
CaF2,2,458,253.0,0.4428700545086878,49.95740120564221,4.0,1.0
CaF2,2,458,253.1,0.4500268573674131,59.32079805147431,4.0,1.0
CaF2,2,458,253.2,0.4578216971939301,55.61099505014577,4.0,1.0
CaF2,2,458,253.3,0.4636074483238255,46.865087681125885,4.0,1.0
CaF2,2,458,253.4,0.4621330311524754,60.869970520938864,4.0,1.0
CaF2,2,458,253.5,0.4487722459461477,48.117731833943466,4.0,1.0
CaF2,2,458,253.6,0.45163062524766084,50.30039681085024,4.0,1.0
CaF2,2,458,253.7,0.46793177491555943,61.74432541764244,4.0,1.0
CaF2,2,458,253.8,0.4657502460176929,44.73824257549801,4.0,1.0
CaF2,2,458,253.9,0.4656380817666208,48.34392332409755,4.0,1.0
CaF2,2,458,254.0,0.4646465300514987,46.97391270221341,4.0,1.0
CaF2,2,458,254.1,0.4555496310230208,62.957654158800175,4.0,1.0
CaF2,2,458,254.2,0.444094486838939,33.112209020086105,4.0,1.0
CaF2,2,458,254.3,0.45565307869739663,55.27702441045455,4.0,1.0
CaF2,2,458,254.4,0.47013912461609214,60.263005879012915,4.0,1.0
CaF2,2,458,254.5,0.47204476563833797,53.648433904471986,4.0,1.0
CaF2,2,458,254.6,0.4512900209016635,47.12524082366586,4.0,1.0
CaF2,2,458,254.7,0.4486903430179455,55.795043833025986,4.0,1.0
CaF2,2,458,254.8,0.43663153478172306,49.237484161733065,4.0,1.0
CaF2,2,458,254.9,0.4524971845422335,48.69181178410752,4.0,1.0
CaF2,2,458,255.0,0.46148200155149494,56.80668541369557,4.0,1.0
CaF2,2,458,255.1,0.43842509378475253,48.56886857531271,4.0,1.0
CaF2,2,458,255.2,0.4395848096446271,49.69602268423441,4.0,1.0
CaF2,2,458,255.3,0.44742282119534704,59.00023677032971,4.0,1.0
CaF2,2,458,255.4,0.44628892613813864,46.248203218091064,4.0,1.0
CaF2,2,458,255.5,0.4287505159705114,47.32222935891379,4.0,1.0
CaF2,2,458,255.6,0.43790341489266965,61.5509801846509,4.0,1.0
CaF2,2,458,255.7,0.43001367950476177,41.04445102113445,4.0,1.0
CaF2,2,458,255.8,0.4263835542382112,55.203367730311186,4.0,1.0
CaF2,2,458,255.9,0.43135882819906995,42.728524525949446,4.0,1.0
CaF2,2,458,256.00000000000006,0.4578518762849444,42.24220106165274,4.0,1.0
CaF2,2,458,256.1,0.44927665614854934,49.110979597592866,4.0,1.0
CaF2,2,458,256.20000000000005,0.4383733699475646,57.3417688467563,4.0,1.0
CaF2,2,458,256.3,0.4523764681781765,46.63940003992243,4.0,1.0
CaF2,2,458,256.40000000000003,0.46086115104152875,72.17070397962983,4.0,1.0
CaF2,2,458,256.50000000000006,0.44272779339845714,63.90658978431773,4.0,1.0
CaF2,2,458,256.6,0.4398650558085959,59.004304661369275,4.0,1.0
CaF2,2,458,256.70000000000005,0.4452240236077993,51.15871717176564,4.0,1.0
CaF2,2,458,256.8,0.45331637828796634,54.022310478781975,4.0,1.0
CaF2,2,458,256.90000000000003,0.4695700801751695,59.99099332904129,3.0,0.0
CaF2,2,458,257.00000000000006,0.4620942177166205,44.62391889916985,3.0,0.0
CaF2,2,458,257.1,0.44002030955201527,29.412394584357717,4.0,1.0
CaF2,2,458,257.20000000000005,0.4604818154915322,57.09099546244504,4.0,1.0
CaF2,2,458,257.3,0.4620295834780995,71.08165597476159,4.0,1.0
CaF2,2,458,257.40000000000003,0.4606154422569223,58.066313725894105,4.0,1.0
CaF2,2,458,257.50000000000006,0.44693132139427844,55.88257481803393,4.0,1.0
CaF2,2,458,257.6,0.4578432419401038,48.49869604976424,4.0,1.0
CaF2,2,458,257.70000000000005,0.4562782874957109,62.50697987431132,4.0,1.0
CaF2,2,458,257.8,0.4481643880693702,51.00596725262112,4.0,1.0
CaF2,2,458,257.90000000000003,0.44783233583635784,48.93529198779055,4.0,1.0
CaF2,2,458,258.00000000000006,0.4506864390813785,56.54770104602147,4.0,1.0
CaF2,2,458,258.1,0.4435167258213201,48.98717516896563,4.0,1.0
CaF2,2,458,258.20000000000005,0.425685159088391,48.086347691956426,4.0,1.0
CaF2,2,458,258.3,0.4296472543560983,35.26122282846881,4.0,1.0
CaF2,2,458,258.40000000000003,0.45446318374650785,58.75572528700294,4.0,1.0
CaF2,2,458,258.50000000000006,0.4443272852222124,63.46956273476796,4.0,1.0
CaF2,2,458,258.6,0.4330919467882153,48.80056953147368,4.0,1.0
CaF2,2,458,258.70000000000005,0.4339284092236293,38.62182253816619,4.0,1.0
CaF2,2,458,258.8,0.4375973479260347,71.03818044625419,4.0,1.0
CaF2,2,458,258.90000000000003,0.4328893274959561,65.13442496451229,4.0,1.0
CaF2,2,458,259.00000000000006,0.4271768449494223,42.7152168321471,4.0,1.0
CaF2,2,458,259.1,0.4587572490153719,53.586874517878925,4.0,1.0
CaF2,2,458,259.20000000000005,0.46522856712561,72.76274135382317,4.0,1.0
CaF2,2,458,259.3,0.44746591068769437,62.06525306943686,4.0,1.0
CaF2,2,458,259.40000000000003,0.43912784722292086,54.12766871775259,4.0,1.0
CaF2,2,458,259.50000000000006,0.4437926959287965,44.413447775027755,4.0,1.0
CaF2,2,458,259.6,0.44574142644338965,39.771303618781026,4.0,1.0
CaF2,2,458,259.70000000000005,0.45511848940398075,63.54353486127119,4.0,1.0
CaF2,2,458,259.8,0.4532344753597642,58.224737196482536,4.0,1.0
CaF2,2,458,259.90000000000003,0.4592660175061216,54.16652808636625,4.0,1.0
CaF2,2,458,260.00000000000006,0.46256417277151546,57.45600502511728,4.0,1.0
CaF2,2,458,260.1,0.4591151220510504,58.82656908740424,4.0,1.0
CaF2,2,458,260.20000000000005,0.45125556575415676,50.18421807391629,4.0,1.0
CaF2,2,458,260.3,0.4610637703337879,41.97580542869069,4.0,1.0
CaF2,2,458,260.40000000000003,0.4670306782416244,46.791732695767436,4.0,1.0
CaF2,2,458,260.50000000000006,0.46976406512258806,66.84110723502772,4.0,1.0
CaF2,2,458,260.6,0.4590461295241813,50.644798239707484,4.0,1.0
CaF2,2,458,260.70000000000005,0.4473150152326231,48.97813708735319,4.0,1.0
CaF2,2,458,260.8,0.44387024056865054,49.22018658508796,4.0,1.0
CaF2,2,458,260.90000000000003,0.4577138912312062,49.51033975968304,4.0,1.0
CaF2,2,458,261.00000000000006,0.44573706815504155,47.67748800959032,4.0,1.0
CaF2,2,458,261.1,0.43122520143367987,45.384267874283296,4.0,1.0
CaF2,2,458,261.20000000000005,0.441076577737514,56.8353234602564,4.0,1.0
CaF2,2,458,261.3,0.4408221523762113,55.643011639107,4.0,1.0
CaF2,2,458,261.40000000000003,0.43804567600290034,32.39684693831103,4.0,1.0
CaF2,2,458,261.50000000000006,0.44915166372799986,43.937106743085394,4.0,1.0
CaF2,2,458,261.6,0.4495439919111851,51.19616461594395,4.0,1.0
CaF2,2,458,261.70000000000005,0.44579742633707004,49.97314488993994,4.0,1.0
CaF2,2,458,261.8,0.43511402811802563,43.53983325101351,4.0,1.0
CaF2,2,458,261.90000000000003,0.44294332309204937,69.15605771433265,4.0,1.0
CaF2,2,458,262.00000000000006,0.44849635807052696,57.508932791805485,4.0,1.0
CaF2,2,458,262.1,0.4465562619007744,52.73536671528941,4.0,1.0
CaF2,2,458,262.20000000000005,0.4409342343954277,53.4173419549713,4.0,1.0
CaF2,2,458,262.3,0.44532319522568264,61.017666361539135,4.0,1.0
CaF2,2,458,262.40000000000003,0.43873551903973557,43.619514946816054,3.0,0.0
CaF2,2,458,262.50000000000006,0.4603092930584317,42.93263670931053,4.0,1.0
CaF2,2,458,262.6,0.46402140348504,39.457218639174904,4.0,1.0
CaF2,2,458,262.70000000000005,0.44767288826830165,42.68002711196689,3.0,0.0
CaF2,2,458,262.8,0.4465778066469481,61.43317389690099,4.0,1.0
CaF2,2,458,262.90000000000003,0.46010667376617254,68.79920182382244,4.0,1.0
CaF2,2,458,263.00000000000006,0.46724193187872415,56.9662648549281,4.0,1.0
CaF2,2,458,263.1,0.4651897536897552,40.44541386827759,4.0,1.0
CaF2,2,458,263.20000000000005,0.45797259264900136,41.37055173924704,4.0,1.0
CaF2,2,458,263.3,0.46400413479535885,49.365678803291864,3.0,0.0
CaF2,2,458,263.40000000000003,0.4638144259044328,65.41802064568961,4.0,1.0
CaF2,2,458,263.50000000000006,0.44795313443227047,54.04878874065876,4.0,1.0
CaF2,2,458,263.6,0.4506519839338718,45.71739077940684,4.0,1.0
CaF2,2,458,263.70000000000005,0.4638101498479403,51.82726310412939,4.0,1.0
CaF2,2,458,263.8,0.4485480819077149,60.2054910411828,4.0,1.0
CaF2,2,458,263.90000000000003,0.4427837932921375,47.07100732015895,4.0,1.0
CaF2,2,458,264.00000000000006,0.440481548030214,56.74272061630633,4.0,1.0
CaF2,2,458,264.1,0.43815348196562426,44.761246249143106,4.0,1.0
CaF2,2,458,264.20000000000005,0.4549891386950831,48.80421665982565,4.0,1.0
CaF2,2,458,264.3,0.4545278179850288,44.40048983562239,3.0,0.0
CaF2,2,458,264.40000000000003,0.43954172015227977,35.414179761910276,4.0,1.0
