system,hexane_index,time_ps,com_z_unwrapped_A,z_msd_from_initial_A2
CaF2,1,28.100000,7.92654794,0.15611739
CaF2,1,28.200000,8.12018921,0.04059244
CaF2,1,28.300000,8.30389352,0.00031582
CaF2,1,28.400000,8.27981434,0.00175147
CaF2,1,28.500000,8.12481649,0.03874928
CaF2,1,28.600000,8.03395191,0.08277875
CaF2,1,28.700000,8.20717296,0.01310840
CaF2,1,28.800000,8.34404773,0.00050099
CaF2,1,28.900000,8.24179536,0.00637914
CaF2,1,29.000000,8.09341377,0.05209856
CaF2,1,29.100000,8.13153839,0.03614808
CaF2,1,29.200000,8.34131114,0.00038598
CaF2,1,29.300000,8.50003923,0.03181741
CaF2,1,29.400000,8.22071364,0.01019115
CaF2,1,29.500000,7.88692635,0.18899758
CaF2,1,29.600000,7.95159713,0.13695013
CaF2,1,29.700000,8.09682445,0.05055321
CaF2,1,29.800000,8.19417230,0.01625436
CaF2,1,29.900000,8.18242965,0.01938645
CaF2,1,30.000000,8.19679121,0.01559343
CaF2,1,30.100000,8.19855444,0.01515618
CaF2,1,30.200000,8.18983128,0.01738010
CaF2,1,30.300000,8.16828397,0.02352570
CaF2,1,30.400000,8.18084328,0.01983072
CaF2,1,30.500000,8.36883782,0.00222529
CaF2,1,30.600000,8.19847777,0.01517506
CaF2,1,30.700000,8.00713508,0.09892899
CaF2,1,30.800000,7.96817791,0.12495303
CaF2,1,30.900000,8.26883318,0.00279119
CaF2,1,31.000000,8.49755512,0.03093738
CaF2,1,31.100000,8.29750184,0.00058385
CaF2,1,31.200000,8.18901902,0.01759492
CaF2,1,31.300000,8.30723291,0.00020828
CaF2,1,31.400000,8.33760039,0.00025394
CaF2,1,31.500000,8.11955073,0.04085013
CaF2,1,31.600000,7.87957468,0.19544374
CaF2,1,31.700000,7.93633335,0.14848038
CaF2,1,31.800000,8.29229598,0.00086253
CaF2,1,31.900000,8.39912810,0.00600055
CaF2,1,32.000000,8.21455866,0.01147174
CaF2,1,32.100000,7.87074121,0.20333215
CaF2,1,32.200000,7.55648053,0.58550707
CaF2,1,32.300000,7.46968935,0.72586229
CaF2,1,32.400000,7.76730671,0.30731297
CaF2,1,32.500000,8.04122448,0.07864681
CaF2,1,32.600000,8.17054032,0.02283863
CaF2,1,32.700000,8.24268313,0.00623812
CaF2,1,32.800000,8.20033741,0.01472035
CaF2,1,32.900000,8.03170905,0.08407438
CaF2,1,33.000000,7.77772203,0.29587381
CaF2,1,33.100000,7.64905422,0.45240509
CaF2,1,33.200000,7.95672284,0.13318269
CaF2,1,33.300000,8.42132624,0.00993239
CaF2,1,33.400000,8.77228131,0.20305518
CaF2,1,33.500000,8.77126480,0.20214010
CaF2,1,33.600000,8.39781573,0.00579895
CaF2,1,33.700000,8.25313572,0.00469624
CaF2,1,33.800000,8.34259415,0.00043803
CaF2,1,33.900000,8.30081415,0.00043475
CaF2,1,34.000000,8.37076650,0.00241097
CaF2,1,34.100000,8.24556198,0.00579165
CaF2,1,34.200000,8.10797343,0.04566403
CaF2,1,34.300000,8.33765876,0.00025580
CaF2,1,34.400000,8.22622853,0.00910809
CaF2,1,34.500000,8.02852216,0.08593265
CaF2,1,34.600000,7.85923188,0.21384427
CaF2,1,34.700000,7.82120451,0.25046057
CaF2,1,34.800000,7.82962113,0.24210704
CaF2,1,34.900000,7.76812402,0.30640747
CaF2,1,35.000000,7.70424356,0.38120907
CaF2,1,35.100000,7.67657829,0.41613670
CaF2,1,35.200000,7.70012531,0.38631142
CaF2,1,35.300000,7.62736120,0.48205759
CaF2,1,35.400000,7.75353229,0.32277463
CaF2,1,35.500000,8.04279773,0.07776688
CaF2,1,35.600000,8.17784121,0.02068525
CaF2,1,35.700000,8.16562972,0.02434697
CaF2,1,35.800000,8.09754261,0.05023079
CaF2,1,35.900000,8.13372763,0.03532041
CaF2,1,36.000000,8.17288644,0.02213502
CaF2,1,36.100000,8.36885510,0.00222692
CaF2,1,36.200000,8.58749549,0.07066592
CaF2,1,36.300000,8.56286113,0.05817564
CaF2,1,36.400000,8.46472189,0.02046531
CaF2,1,36.500000,8.38093840,0.00351335
CaF2,1,36.600000,8.39316434,0.00511217
CaF2,1,36.700000,8.54694086,0.05074927
CaF2,1,36.800000,8.62381319,0.09129361
CaF2,1,36.900000,8.46443687,0.02038384
CaF2,1,37.000000,8.23379662,0.00772083
CaF2,1,37.100000,8.28681182,0.00121474
CaF2,1,37.200000,8.31150335,0.00010326
CaF2,1,37.300000,8.28496281,0.00134704
CaF2,1,37.400000,8.18640069,0.01829640
CaF2,1,37.500000,8.08053827,0.05814204
CaF2,1,37.600000,8.17782810,0.02068902
CaF2,1,37.700000,8.34260768,0.00043860
CaF2,1,37.800000,8.44454588,0.01509974
CaF2,1,37.900000,8.43191095,0.01215420
CaF2,1,38.000000,8.29094332,0.00094381
CaF2,1,38.100000,8.02434552,0.08839880
CaF2,1,38.200000,7.74962561,0.32722891
CaF2,1,38.300000,7.59110221,0.53372180
CaF2,1,38.400000,7.70835948,0.37614350
CaF2,1,38.500000,7.96204645,0.12932541
CaF2,1,38.600000,8.11042775,0.04462112
CaF2,1,38.700000,8.08290008,0.05700862
CaF2,1,38.800000,8.06605973,0.06533399
CaF2,1,38.900000,8.21480790,0.01141841
CaF2,1,39.000000,8.39219783,0.00497490
CaF2,1,39.100000,8.52463263,0.04119591
CaF2,1,39.200000,8.52287724,0.04048642
CaF2,1,39.300000,8.38185246,0.00362255
CaF2,1,39.400000,8.17134014,0.02259752
CaF2,1,39.500000,8.10561398,0.04667799
CaF2,1,39.600000,8.21336588,0.01172867
CaF2,1,39.700000,8.38772305,0.00436368
CaF2,1,39.800000,8.46289152,0.01994497
CaF2,1,39.900000,8.44652537,0.01559014
CaF2,1,40.000000,8.31112557,0.00011108
CaF2,1,40.100000,8.16129332,0.02571903
CaF2,1,40.200000,8.05703400,0.07002950
CaF2,1,40.300000,8.11943442,0.04089715
CaF2,1,40.400000,8.25290246,0.00472827
CaF2,1,40.500000,8.30915917,0.00015639
CaF2,1,40.600000,8.26468458,0.00324675
CaF2,1,40.700000,8.30286842,0.00035331
CaF2,1,40.800000,8.32636856,0.00002212
CaF2,1,40.900000,8.24778269,0.00545858
CaF2,1,41.000000,8.04786271,0.07496762
CaF2,1,41.100000,7.81290320,0.25883844
CaF2,1,41.200000,7.81654042,0.25515071
CaF2,1,41.300000,8.05134688,0.07307182
CaF2,1,41.400000,8.04918272,0.07424652
CaF2,1,41.500000,7.92856376,0.15452848
CaF2,1,41.600000,7.85594053,0.21689916
CaF2,1,41.700000,7.92308370,0.15886695
CaF2,1,41.800000,8.08810029,0.05455241
CaF2,1,41.900000,8.09629379,0.05079212
CaF2,1,42.000000,7.94769370,0.13985444
CaF2,1,42.100000,7.95327057,0.13571436
CaF2,1,42.200000,7.96016649,0.13068108
CaF2,1,42.300000,7.91217150,0.16768482
CaF2,1,42.400000,7.84442628,0.22775667
CaF2,1,42.500000,7.95959798,0.13109243
CaF2,1,42.600000,8.21689684,0.01097634
CaF2,1,42.700000,8.33704859,0.00023666
CaF2,1,42.800000,8.27140208,0.00252635
CaF2,1,42.900000,8.16078212,0.02588326
CaF2,1,43.000000,8.16065692,0.02592356
CaF2,1,43.100000,8.06513680,0.06580665
CaF2,1,43.200000,7.97562925,0.11974065
CaF2,1,43.300000,7.66011466,0.43764868
CaF2,1,43.400000,7.97828136,0.11791223
CaF2,1,43.500000,8.12374653,0.03917167
CaF2,1,43.600000,8.10770688,0.04577802
CaF2,1,43.700000,7.96178947,0.12951030
CaF2,1,43.800000,7.85427172,0.21845636
CaF2,1,43.900000,8.04177853,0.07833636
CaF2,1,44.000000,7.91172257,0.16805269
CaF2,1,44.100000,7.79257985,0.27993096
CaF2,1,44.200000,7.70648091,0.37845130
CaF2,1,44.300000,7.79647240,0.27582713
CaF2,1,44.400000,7.94019551,0.14551887
CaF2,1,44.500000,8.02672371,0.08699029
CaF2,1,44.600000,8.06708066,0.06481312
CaF2,1,44.700000,8.09512352,0.05132098
CaF2,1,44.800000,8.09669507,0.05061141
CaF2,1,44.900000,7.99874724,0.10427580
CaF2,1,45.000000,8.12421084,0.03898809
CaF2,1,45.100000,8.28849701,0.00110011
CaF2,1,45.200000,8.22252641,0.00982843
CaF2,1,45.300000,8.14720411,0.03043656
CaF2,1,45.400000,8.15717284,0.02705763
CaF2,1,45.500000,8.27290370,0.00237765
CaF2,1,45.600000,8.32539381,0.00001390
CaF2,1,45.700000,8.18430619,0.01886741
CaF2,1,45.800000,8.23066881,0.00828028
CaF2,1,45.900000,8.41995092,0.00966015
CaF2,1,46.000000,8.40316574,0.00664239
CaF2,1,46.100000,8.22477375,0.00938789
CaF2,1,46.200000,8.06610065,0.06531307
CaF2,1,46.300000,8.27255165,0.00241211
CaF2,1,46.400000,8.31363216,0.00006452
CaF2,1,46.500000,8.03942080,0.07966172
CaF2,1,46.600000,8.00923755,0.09761083
CaF2,1,46.700000,8.08511679,0.05595499
CaF2,1,46.800000,8.06589483,0.06541831
CaF2,1,46.900000,7.83848073,0.23346691
CaF2,1,47.000000,7.68659837,0.40330946
CaF2,1,47.100000,7.96274788,0.12882141
CaF2,1,47.200000,8.02871307,0.08582076
CaF2,1,47.300000,8.08591308,0.05557891
CaF2,1,47.400000,8.17976460,0.02013569
CaF2,1,47.500000,8.12457316,0.03884514
CaF2,1,47.600000,7.91824971,0.16274379
CaF2,1,47.700000,7.68645468,0.40349199
CaF2,1,47.800000,7.68566582,0.40449479
CaF2,1,47.900000,7.94259273,0.14369569
CaF2,1,48.000000,8.05134234,0.07307427
CaF2,1,48.100000,7.93658380,0.14828743
CaF2,1,48.200000,7.66660246,0.42910676
CaF2,1,48.300000,7.56217432,0.57682590
CaF2,1,48.400000,7.90171849,0.17635496
CaF2,1,48.500000,8.08399108,0.05648883
CaF2,1,48.600000,8.04260155,0.07787634
CaF2,1,48.700000,8.04951593,0.07406505
CaF2,1,48.800000,8.16765376,0.02371942
CaF2,1,48.900000,8.19250279,0.01668284
CaF2,1,49.000000,8.08307994,0.05692277
CaF2,1,49.100000,8.04781271,0.07499501
CaF2,1,49.200000,8.08276769,0.05707186
CaF2,1,49.300000,8.17518221,0.02145717
CaF2,1,49.400000,8.35076029,0.00084654
CaF2,1,49.500000,8.44955784,0.01635661
CaF2,1,49.600000,8.49634868,0.03051443
CaF2,1,49.700000,8.60076398,0.07789631
CaF2,1,49.800000,8.55396051,0.05396126
CaF2,1,49.900000,8.41866304,0.00940864
CaF2,1,50.000000,8.23890582,0.00684906
CaF2,1,50.100000,8.10696338,0.04609673
CaF2,1,50.200000,8.15830154,0.02668758
CaF2,1,50.300000,8.14589136,0.03089633
CaF2,1,50.400000,8.02853295,0.08592632
CaF2,1,50.500000,8.03262948,0.08354146
CaF2,1,50.600000,8.01235174,0.09567461
CaF2,1,50.700000,8.05388593,0.07170556
CaF2,1,50.800000,8.09172921,0.05287041
CaF2,1,50.900000,8.03458664,0.08241391
CaF2,1,51.000000,7.96305749,0.12859925
CaF2,1,51.100000,7.89629030,0.18094352
CaF2,1,51.200000,7.91500740,0.16537030
CaF2,1,51.300000,8.02302266,0.08918717
CaF2,1,51.400000,8.06812145,0.06428427
CaF2,1,51.500000,8.04985068,0.07388295
CaF2,1,51.600000,8.07537815,0.06065715
CaF2,1,51.700000,8.11269062,0.04367024
CaF2,1,51.800000,8.19838319,0.01519837
CaF2,1,51.900000,8.12012952,0.04061650
CaF2,1,52.000000,8.14596331,0.03087104
CaF2,1,52.100000,8.10973916,0.04491251
CaF2,1,52.200000,7.87090531,0.20318418
CaF2,1,52.300000,7.93585789,0.14884703
CaF2,1,52.400000,8.21156707,0.01212153
CaF2,1,52.500000,8.31536104,0.00003974
CaF2,1,52.600000,8.18858175,0.01771112
CaF2,1,52.700000,7.93102286,0.15260118
CaF2,1,52.800000,7.87780748,0.19700938
CaF2,1,52.900000,8.14950049,0.02964057
CaF2,1,53.000000,8.41215887,0.00818916
CaF2,1,53.100000,8.42447835,0.01057061
CaF2,1,53.200000,8.12670232,0.03801040
CaF2,1,53.300000,7.82956111,0.24216611
CaF2,1,53.400000,7.83939178,0.23258733
CaF2,1,53.500000,7.90943078,0.16993694
CaF2,1,53.600000,7.92746037,0.15539719
CaF2,1,53.700000,7.99819062,0.10463559
CaF2,1,53.800000,7.99740790,0.10514258
CaF2,1,53.900000,7.93298949,0.15106855
CaF2,1,54.000000,7.81156341,0.26020350
CaF2,1,54.100000,7.80625982,0.26564237
CaF2,1,54.200000,7.92947264,0.15381475
CaF2,1,54.300000,8.12643255,0.03811566
CaF2,1,54.400000,8.30769401,0.00019518
CaF2,1,54.500000,8.33846629,0.00028229
CaF2,1,54.600000,8.27027022,0.00264141
CaF2,1,54.700000,8.24022935,0.00663174
