system,block_10ps,central_relative_depth_tetrahedral_q,central_relative_depth_translation_20_300cm-1_cross_to_self
Oil,32,0.8229513387235803,-0.0173128149546263
Oil,33,0.8227850749652408,0.20775699389498473
Oil,34,0.8253516207967561,0.17276669801569114
Oil,35,0.8248121164499304,0.11638117591678745
Oil,36,0.8259687920499784,0.09955089224611913
Oil,37,0.8256541650012957,0.1275914858340359
Oil,38,0.827513719647324,0.19519136746581528
Oil,39,0.8253084208812936,0.15557750590504799
Oil,40,0.8280235803408357,0.13384458618871692
Oil,41,0.8304237704055314,0.3419275417625194
Oil,42,0.828670277706545,-0.04702914182286983
Oil,43,0.8361419497661173,0.13097003450619543
Oil,44,0.8366466495017666,0.2475777468996969
Oil,45,0.8318083245841208,0.07411737348372582
Oil,46,0.8383219282033378,0.2511056445146022
Oil,47,0.8356216723890234,0.226532269405138
Oil,48,0.8400366069307907,0.12037599726038625
Oil,49,0.8406706179552366,0.16002337094493585
Oil,50,0.8396788587773688,0.07936096266033522
SiO2,1,0.8266099446459144,0.0005208305048267226
SiO2,2,0.8331316615605431,-0.13470306831111947
SiO2,3,0.8432634440660193,-0.0005785900160630436
SiO2,4,0.8575351530785039,-0.06730154793533207
SiO2,5,0.8589373515858956,-0.04673773327229971
SiO2,6,0.8578281006428182,0.038775296713215
SiO2,7,0.8556784640889228,-0.08254609685504417
SiO2,8,0.8614713198288829,-0.06210550536596699
SiO2,9,0.8620878947303665,-0.051762253879667076
SiO2,10,0.863444829317023,-0.009451535185901649
SiO2,11,0.8679722946213712,-0.003131451280373877
SiO2,12,0.8651477780284588,-0.02679836549925792
SiO2,13,0.8670565651893082,-0.01717729174874874
SiO2,14,0.8648888792904825,-0.08416203942415754
SiO2,15,0.864505085594421,-0.08071209713533584
SiO2,16,0.8617397672277425,-0.10305667216005197
SiO2,17,0.8586838457249986,-0.07455060475580988
SiO2,18,0.8538731014585782,-0.04162722048330346
SiO2,19,0.8540442029138059,-0.0489206102589451
SiO2,20,0.8501776330890617,-0.03558362143349655
SiO2,21,0.8510254926426586,-0.09901578033890528
SiO2,22,0.8465173230006914,0.0030217532747323444
SiO2,23,0.8490939553421727,-0.025972465209192757
SiO2,24,0.8551308995994025,-0.016872687978992634
SiO2,25,0.8517507710743373,-0.024967179349409493
SiO2,26,0.8564010439958468,0.011339197569584566
SiO2,27,0.8534116305100552,-0.10140394330881525
SiO2,28,0.8597506972947219,-0.06517215727233644
SiO2,29,0.8619586330232408,0.00878322548143336
SiO2,30,0.8654069620619762,-0.09550975719149568
SiO2,31,0.8625860053576289,0.13168458050149154
SiO2,32,0.8627441472968592,-0.10251885319649927
SiO2,33,0.862027206520716,-0.0932692514864625
SiO2,34,0.863308813477444,-0.021674224228061187
SiO2,35,0.8646658947978125,-0.04936052008428988
SiO2,36,0.8702037103644384,-0.11707891407585658
SiO2,37,0.8696550248183182,-0.12086956772793638
SiO2,38,0.8704190858085249,-0.08134841893013467
SiO2,39,0.8687290006833235,-0.03459168151816363
SiO2,40,0.8675262813216598,-0.07451539079645339
SiO2,41,0.8702642864126295,-0.11876356655647846
SiO2,42,0.8704885497448085,-0.049941869312904
SiO2,43,0.8716164139135457,-0.03587659827454479
SiO2,44,0.8718084225602891,-0.044719934413055724
SiO2,45,0.8747540193058411,-0.05209260930827432
SiO2,46,0.8771170420789477,-0.02932664994738227
SiO2,47,0.875583632886511,-0.08030590641472102
SiO2,48,0.8698586783758193,-0.008674275638482968
SiO2,49,0.8662932765191627,0.005540669849317718
SiO2,50,0.8721471469550741,0.006357868575717229
