layer,depth_min_A,depth_max_A,n_waters,plotted_wavenumber_cm-1,calculated_wavenumber_cm-1,normalized_VDOS
1,0.0,4.0,22,1307.6559411894877,1227.6559411894877,0.039479603266253854
1,0.0,4.0,22,1308.1649196062328,1228.1649196062328,0.039603872034120705
1,0.0,4.0,22,1308.6738980229782,1228.6738980229782,0.0397563978262067
1,0.0,4.0,22,1309.1828764397235,1229.1828764397235,0.039923463388981686
1,0.0,4.0,22,1309.6918548564686,1229.6918548564686,0.040084281762541994
1,0.0,4.0,22,1310.200833273214,1230.200833273214,0.04021474628089906
1,0.0,4.0,22,1310.709811689959,1230.709811689959,0.04029241613589856
1,0.0,4.0,22,1311.2187901067043,1231.2187901067043,0.04030164129806528
1,0.0,4.0,22,1311.7277685234496,1231.7277685234496,0.04023761052429654
1,0.0,4.0,22,1312.2367469401947,1232.2367469401947,0.04010830536849639
1,0.0,4.0,22,1312.74572535694,1232.74572535694,0.03993382274327366
1,0.0,4.0,22,1313.2547037736852,1233.2547037736852,0.039743161412243176
1,0.0,4.0,22,1313.7636821904305,1233.7636821904305,0.039569176392626
1,0.0,4.0,22,1314.2726606071756,1234.2726606071756,0.039442819644247284
1,0.0,4.0,22,1314.781639023921,1234.781639023921,0.039387898754516336
1,0.0,4.0,22,1315.2906174406662,1235.2906174406662,0.03941738635702586
1,0.0,4.0,22,1315.7995958574113,1235.7995958574113,0.03953188360164071
1,0.0,4.0,22,1316.3085742741566,1236.3085742741566,0.03972032105837954
1,0.0,4.0,22,1316.8175526909017,1236.8175526909017,0.0399625159940871
1,0.0,4.0,22,1317.326531107647,1237.326531107647,0.04023290054434001
1,0.0,4.0,22,1317.8355095243924,1237.8355095243924,0.040504628658065714
1,0.0,4.0,22,1318.3444879411375,1238.3444879411375,0.040753335413859525
1,0.0,4.0,22,1318.8534663578828,1238.8534663578828,0.04095999810958975
1,0.0,4.0,22,1319.3624447746279,1239.3624447746279,0.04111256885786331
1,0.0,4.0,22,1319.8714231913732,1239.8714231913732,0.04120626905269457
1,0.0,4.0,22,1320.3804016081183,1240.3804016081183,0.04124263998183826
1,0.0,4.0,22,1320.8893800248636,1240.8893800248636,0.041227629298899324
1,0.0,4.0,22,1321.398358441609,1241.398358441609,0.04116915395732784
1,0.0,4.0,22,1321.907336858354,1241.907336858354,0.041074692296247294
1,0.0,4.0,22,1322.4163152750994,1242.4163152750994,0.04094948051692633
1,0.0,4.0,22,1322.9252936918444,1242.9252936918444,0.04079578269963309
1,0.0,4.0,22,1323.4342721085898,1243.4342721085898,0.04061345748858507
1,0.0,4.0,22,1323.943250525335,1243.943250525335,0.04040169550267155
1,0.0,4.0,22,1324.4522289420802,1244.4522289420802,0.04016143646007176
1,0.0,4.0,22,1324.9612073588255,1244.9612073588255,0.039897709604720596
1,0.0,4.0,22,1325.4701857755706,1245.4701857755706,0.039621079947363906
1,0.0,4.0,22,1325.979164192316,1245.979164192316,0.03934757654175
1,0.0,4.0,22,1326.488142609061,1246.488142609061,0.03909689512331608
1,0.0,4.0,22,1326.9971210258063,1246.9971210258063,0.03888919076155676
1,0.0,4.0,22,1327.5060994425517,1247.5060994425517,0.03874124124717805
1,0.0,4.0,22,1328.0150778592968,1248.0150778592968,0.038663008718564755
1,0.0,4.0,22,1328.524056276042,1248.524056276042,0.03865556013542095
1,0.0,4.0,22,1329.0330346927872,1249.0330346927872,0.038710935436414774
1,0.0,4.0,22,1329.5420131095325,1249.5420131095325,0.038813991245846564
1,0.0,4.0,22,1330.0509915262778,1250.0509915262778,0.03894568243393052
1,0.0,4.0,22,1330.559969943023,1250.559969943023,0.039086861263396624
1,0.0,4.0,22,1331.0689483597682,1251.0689483597682,0.03922159565612417
1,0.0,4.0,22,1331.5779267765133,1251.5779267765133,0.039339244708706866
1,0.0,4.0,22,1332.0869051932586,1252.0869051932586,0.03943497876535836
1,0.0,4.0,22,1332.5958836100037,1252.5958836100037,0.03950892101530467
1,0.0,4.0,22,1333.104862026749,1253.104862026749,0.039564445348727
1,0.0,4.0,22,1333.6138404434944,1253.6138404434944,0.03960628561667059
1,0.0,4.0,22,1334.1228188602395,1254.1228188602395,0.039638992189484905
1,0.0,4.0,22,1334.6317972769848,1254.6317972769848,0.03966600425351616
1,0.0,4.0,22,1335.14077569373,1255.14077569373,0.03968932676222277
1,0.0,4.0,22,1335.6497541104752,1255.6497541104752,0.039709625366517017
1,0.0,4.0,22,1336.1587325272205,1256.1587325272205,0.03972652701214019
1,0.0,4.0,22,1336.6677109439656,1256.6677109439656,0.03973900206147697
1,0.0,4.0,22,1337.176689360711,1257.176689360711,0.03974581665415994
1,0.0,4.0,22,1337.685667777456,1257.685667777456,0.03974609324600912
1,0.0,4.0,22,1338.1946461942014,1258.1946461942014,0.03973996502374088
1,0.0,4.0,22,1338.7036246109465,1258.7036246109465,0.039729188637801734
1,0.0,4.0,22,1339.2126030276918,1259.2126030276918,0.03971747240226193
1,0.0,4.0,22,1339.721581444437,1259.721581444437,0.039710269177630264
1,0.0,4.0,22,1340.2305598611822,1260.2305598611822,0.03971391210704801
1,0.0,4.0,22,1340.7395382779275,1260.7395382779275,0.03973420154577887
1,0.0,4.0,22,1341.2485166946726,1261.2485166946726,0.03977478755547089
1,0.0,4.0,22,1341.757495111418,1261.757495111418,0.0398358249182514
1,0.0,4.0,22,1342.2664735281633,1262.2664735281633,0.03991333786841304
1,0.0,4.0,22,1342.7754519449084,1262.7754519449084,0.03999952622000693
1,0.0,4.0,22,1343.2844303616537,1263.2844303616537,0.04008395331483094
1,0.0,4.0,22,1343.7934087783988,1263.7934087783988,0.04015529508551515
1,0.0,4.0,22,1344.302387195144,1264.302387195144,0.040203196493663426
1,0.0,4.0,22,1344.8113656118892,1264.8113656118892,0.040219813878467
1,0.0,4.0,22,1345.3203440286345,1265.3203440286345,0.04020078412538869
1,0.0,4.0,22,1345.8293224453798,1265.8293224453798,0.040145569616063755
1,0.0,4.0,22,1346.338300862125,1266.338300862125,0.04005729218180743
1,0.0,4.0,22,1346.8472792788702,1266.8472792788702,0.0399422369471455
1,0.0,4.0,22,1347.3562576956153,1267.3562576956153,0.039809180801851946
1,0.0,4.0,22,1347.8652361123607,1267.8652361123607,0.03966862770423353
1,0.0,4.0,22,1348.374214529106,1268.374214529106,0.039531974020617235
1,0.0,4.0,22,1348.883192945851,1268.883192945851,0.03941061951734102
1,0.0,4.0,22,1349.3921713625964,1269.3921713625964,0.03931508062529931
1,0.0,4.0,22,1349.9011497793415,1269.9011497793415,0.03925421446575288
1,0.0,4.0,22,1350.4101281960868,1270.4101281960868,0.03923467744223921
1,0.0,4.0,22,1350.919106612832,1270.919106612832,0.03926069369256042
1,0.0,4.0,22,1351.4280850295772,1271.4280850295772,0.0393341073011352
